IdAluno;Bimestre;Resultado;1>;1>2>;1>46>;1>46>2>;13>;14>;14>14>;14>14>14>;14>14>2>;14>14>41>;14>2>;14>2>14>;14>2>2>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>32>;14>32>31>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;14>7>;14>7>5>;14>7>5>5>;16>;16>31>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>2>;2>14>41>;2>2>;2>3>;2>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>31>30>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>31>;30>31>30>;30>32>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;32>;32>14>;32>31>;32>31>30>;41>;41>14>;41>2>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>31>30>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;42>;43>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>;44>14>;44>14>41>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;6>6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;8>;8>7>;Total Geral
36054-5384;20120202;SUCESSO;3;2;1;1;;35;1;;;1;6;;;5;;2;1;1;;;;;;;;17;;;7;2;1;1;5;4;1;;;;;;3;3;;;21;;;;4;;;2;;1;2;2;2;;7;;6;10;1;;;;8;1;6;5;4;1;;;2;;12;1;1;;8;;7;6;5;;;;;1;1;;;;;69;2;1;2;1;26;;;;14;;6;2;1;;2;;3;3;1;;11;1;11;;5;3;2;22;3;2;7;1;;4;1;4;1;3;1;;3;2;2;1;1;;;;;;;3;2;3;;;;3;;2;2;;;;469
36057-5384;20120202;insucesso;3;1;2;2;;22;1;;;1;7;1;1;;;2;;1;;;;;1;;;8;;;1;;;;1;;;;;1;;;1;1;;;13;2;2;2;3;;1;1;;1;1;1;1;;;;;4;2;;;;3;1;1;;;;;;1;;6;1;;;4;1;3;1;;;;1;1;;;;;;;19;;3;1;1;1;;;;;;;;;;;;1;1;;;2;1;1;;;;;2;;;;;;;;;;;;;3;1;1;2;2;1;;1;;;;;;;;;;1;;;;;;;161
36057-7297;20130202;SUCESSO;2;2;;;;43;8;;;6;2;;;;;2;;1;1;;;;;;;17;;;2;;;;;;;1;;;;;;;1;1;5;;;;;;;;;;2;2;2;;;;;6;4;;;2;3;2;;;;;;;;;7;;;;6;2;3;;;;;;;;;;;;;36;;1;1;1;2;;;;;;;;;;;;1;1;;;3;;3;;1;;;3;3;2;1;1;;;;;;;;;2;2;2;;1;1;;;;;;;;;;;;1;1;;;;1;;206
36058-5490;20120202;SUCESSO;2;1;1;;;78;9;;;4;3;2;;4;;10;;5;;1;;1;4;;;24;;;10;4;1;1;1;;;;1;5;;;;;;;6;1;1;;2;;;;;;;;;;4;;1;19;3;2;;;7;2;3;1;;4;3;;4;2;25;1;;;19;1;7;3;1;4;3;7;5;3;1;1;;1;;71;2;1;3;2;23;;;;7;;2;2;2;2;;;1;;;;12;1;6;;5;1;;19;1;1;13;1;1;2;;1;;1;2;;2;1;1;;5;;;;1;1;1;;;8;2;;;5;1;;;1;1;;534
36066-6030;20130101;insucesso;;;;;;9;;;;;;;;;;;;;;;;;;;;5;;;2;2;1;;;;;;;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;1;;1;;8;;;;;4;;;;3;;1;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;2;;;;1;;;52
36089-5384;20120202;insucesso;1;;;;;34;2;;;;9;4;;;;3;;;;;;;;;;15;;;3;;;;;;;;;;;;1;1;;;18;;;;8;1;5;;;;1;1;;3;;;;;;;;;;;;;;;;;;;4;2;;;;;;;;;;;;;1;;;;;45;1;2;;;14;;;;4;;2;2;;;;;;;;;1;;1;;1;;;3;;;3;;;;;;;;;;1;1;;;3;;3;;;;;;;;;;;;;;;;;;204
36099-5061;20120201;insucesso;1;1;;;;44;;;;;6;;2;;;3;;1;;1;;;;;;3;;;1;;;;1;1;;;;1;;;1;1;;;12;;;;1;;;3;;2;1;1;1;;;;;5;;;;;3;;1;;;;;;1;;8;;;;5;;3;1;;;;;;;1;1;1;;;24;;1;1;1;9;1;1;1;2;;2;;;;1;1;2;1;;;4;;3;;1;1;1;6;1;;2;1;;2;1;1;;;1;1;1;1;1;;2;;;1;;;;1;1;;;;;2;;1;1;;;;205
36099-6895;20130201;insucesso;1;1;;;;21;1;;;;;;;;;3;;1;;;;;;;;6;;;2;;;;;;;;;1;;;1;1;;;2;;;;;;;;;;1;1;1;;;;;3;;;;;;;;;;;;;1;;6;1;;1;3;;;;;;;;;;;;;;;15;;;2;2;5;;1;1;1;;;;;;;;1;1;;;4;;4;;2;;;7;;;3;;;1;;;;;;;1;1;1;;;;;;;;;;;2;1;;;1;;;;1;;;117
36123-5384;20120202;insucesso;;;;;;21;3;;;;6;;2;1;1;;;;;;;;;;;2;;;;;;;;;;1;;;;;;;;;9;;;;2;;;3;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;1;;;;7;;;;5;;2;1;1;1;;;;;;6;1;;1;;1;1;1;1;;;1;;;1;;1;;1;3;1;;;;;2;;;;;;;;;;;;;;;;;;;;109
36130-6401;20130102;insucesso;2;1;1;1;;53;7;;;;8;3;;10;9;6;;6;;4;;;;;;2;;;;;;;;;;;;1;;;1;1;;;21;;;;7;1;;;1;;1;1;1;;11;1;10;13;2;;;;11;1;6;4;;4;3;1;;;9;3;;;8;;7;4;4;2;2;1;;;;2;;2;;11;1;;;;;;;;;;;;;;;;1;1;;;1;;1;;;;;7;;;2;;;1;;1;;1;;;2;1;1;1;;;;;;;;1;1;;;;;2;;1;1;;;;299
36131-5489;20120202;insucesso;3;2;2;2;;98;7;1;;3;7;4;;1;;5;;4;;1;;;;7;6;35;;1;20;5;2;1;4;2;;;;1;;;3;3;1;1;16;1;1;1;7;1;2;3;1;1;1;1;1;;4;2;2;30;14;;;5;6;3;2;1;;6;5;1;;1;37;6;;1;27;9;5;2;1;4;3;4;2;;;14;2;12;8;160;5;2;5;2;64;;1;;24;;16;9;5;4;1;1;2;2;1;;10;1;6;;5;2;;9;3;;8;3;;5;2;2;;1;2;2;3;2;2;2;2;;;;1;;;;;;;;;2;;;;;;;867
36131-6030;20130101;insucesso;2;;2;2;;59;7;1;1;2;6;4;;9;2;2;;;;;;;;1;1;18;;1;7;6;2;1;3;2;;;;;;;1;1;;;13;2;2;2;8;;3;1;;;;;;;9;4;2;6;2;;;1;;;;;;2;;;;;8;;;;5;2;;;;2;;;;;1;5;1;3;3;54;1;3;1;1;20;1;;;10;;3;2;2;2;1;1;2;2;1;;13;1;9;1;5;3;2;15;2;1;5;;;3;;2;;1;;;2;;;2;1;;;;;;;;;;;;;;;;;;;;405
36131-7297;20130202;SUCESSO;2;;2;2;;26;1;;;1;2;1;;10;;1;;;;;;;1;;;10;2;;5;3;2;;;;;;;;;;;;;;9;2;2;2;7;;;;;;;;;;12;;5;2;1;;;1;;;;;;;;;;;2;;;;2;1;;;;;;1;1;;;;;;;17;;4;;;9;;;;6;;4;2;2;1;2;;3;3;3;;5;1;4;;4;3;2;4;3;2;4;3;2;3;2;2;1;2;;;2;;;2;;;;;;;;;;;;;;;;;;;1;;229
36137-5384;20120202;insucesso;2;1;1;1;;44;7;;1;4;9;1;1;2;1;;;;;;;;;;;23;;;14;11;6;5;;;;4;;;;;;;;;19;1;1;1;4;;3;2;;3;1;1;1;3;2;;1;6;2;;;2;2;1;2;2;;2;1;;;1;5;1;;1;4;1;1;1;1;2;1;;;1;;;;;;56;1;5;3;2;30;3;3;2;23;;12;9;8;4;1;1;1;1;1;;2;;2;;2;2;2;5;1;1;3;;;3;;2;;1;;;2;1;1;1;6;;2;;;;;;;;;;;1;;;;;;;427
36139-5384;20120202;insucesso;1;;1;1;;37;;;;;5;;;;;8;;5;;2;;;;;;3;;1;1;1;1;1;2;2;;1;;1;;;;;;;13;1;1;1;1;;;;;;;;;;;;;26;3;;;;10;3;3;1;;2;1;;1;;25;;;;14;;5;2;;1;1;4;3;2;;;;;;19;;1;5;3;5;1;3;2;1;;1;1;1;1;;;1;1;;;4;1;3;;2;1;1;5;2;1;3;2;1;1;1;1;;;2;;1;;;1;10;1;;;;;;4;3;;;;;4;;4;3;;;;306
36139-6030;20130101;SUCESSO;2;;2;1;6;99;1;;;;7;;;;;15;;4;;2;;;1;;;7;1;;2;;;;8;6;;3;;3;;;4;4;3;3;21;1;1;1;2;;;1;;;;;;;;;;22;1;;;;7;;1;1;1;3;2;;;;44;1;;;14;;5;1;1;2;1;5;2;2;2;;;;;38;;1;2;;9;;;;1;;;;;;1;;2;1;;;18;;14;;1;1;;33;4;2;4;2;;2;2;;;;;;2;;;1;12;1;;;;;;5;5;51;16;7;4;18;;5;5;1;;;600
36145-5384;20120202;insucesso;;;;;;26;;;;;6;;;;;;;;;;;;;;;10;;;8;3;1;;1;;;;;3;;;;;;;10;;;;;;;;2;;;;;;5;3;2;3;;;;;;;;;;;;;;;3;;;;1;;;;;;;;;;1;1;1;;;14;;1;1;;10;1;1;;4;;1;;;;1;1;1;1;1;;4;;2;;2;;;6;1;1;4;1;1;;;;;;;;;;;;1;;;;;;;;;12;3;3;;3;;;;;;;172
36159-5490;20120202;SUCESSO;2;2;;;;55;3;;;;6;2;;1;;8;1;3;;;;;1;;;18;1;;2;1;;;;;;;;7;2;1;4;4;1;1;13;;;;4;;;1;;3;2;2;2;;3;;;11;;;;;2;;1;1;;;;;;3;21;3;1;;8;;2;1;1;;;1;;;;1;;1;;54;;1;1;;11;;;;7;;5;4;3;1;;;1;;;;4;1;2;;1;;;5;;;1;;;;;;;;;;2;2;2;;3;;;;;;;2;1;26;8;4;4;11;4;2;1;2;2;;392
36170-5384;20120202;SUCESSO;1;;1;1;;21;1;;;;3;;;;;;;;;;;;;;;6;1;;2;1;;;;;;;;;;;;;;;8;1;1;1;1;;;3;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;8;;2;1;;2;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;71
36173-5489;20120202;insucesso;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;1;;;3;;;;;;;;;;;;;;1;1;;1;;3;;;1;;;;;;;;;;;;;;1;1;;;1;;1;;;;;2;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;29
36189-5490;20120202;SUCESSO;2;1;1;1;;24;;;;;1;;;;;1;;;;;;;;;;10;1;;4;1;;;;;;;;1;1;1;;;;;4;;;;;;;;;2;1;1;1;;;;;5;;;;;3;;1;;;;;;1;;3;;;;2;;1;1;;;;;;;;;;;;32;;3;;;8;;;;4;;1;1;;;;;;;;;1;;1;;;;;1;;;;;;;;;;;1;;2;1;1;1;;;;;;;;2;2;;;;;2;;2;2;;;;144
36194-5489;20120202;insucesso;;;;;;24;;;;;;;;;;1;;1;;1;;;;;;8;;;2;;;;;;;1;;;;;;;;;1;;;;;;;;;1;;;;;;;;3;;;;;2;;1;;;;;;2;;3;;;;3;;2;1;;;;;;;;;;;;27;;1;1;1;8;;;;3;;1;1;1;1;1;;3;1;;2;6;1;3;;1;;;4;;;2;;;1;;1;;1;2;1;;;;;1;;;;;;;;;7;2;;;1;;;;1;1;1;146
36244-5490;20120202;insucesso;2;1;1;1;;57;1;;;;6;;;2;;;;;;;;;;1;1;7;;1;3;2;;;;;;;22;2;;;2;2;3;3;12;1;1;1;1;;;1;;4;1;1;1;13;5;;2;17;1;;;;1;;1;;;;;;;3;17;1;;;5;;;;;;;2;;3;4;2;;2;1;52;;1;2;1;8;1;;;4;;1;;;;1;;1;;;;3;1;2;;1;;;2;;;1;;;;;;;;1;;2;1;1;1;30;;10;2;24;22;16;3;2;25;7;4;;7;;2;2;2;1;1;472
36259-5490;20120202;insucesso;2;;1;;;44;6;;;3;2;;;;;3;;1;;;;;;1;1;16;;1;3;1;1;1;1;1;;;;3;;;1;1;;;10;;;;1;;;1;2;1;;;;;2;;2;12;3;;;;5;1;3;1;;1;;1;1;;14;1;;;9;2;5;3;1;1;;1;;2;;3;;3;2;60;1;;1;;11;;;;3;;2;2;;;1;1;5;4;1;;8;1;5;1;1;1;1;7;3;2;1;1;1;1;1;1;;;;;2;1;;;;;;;;;;6;5;3;1;;;6;;4;4;1;3;1;353
36259-6590;20130201;insucesso;3;2;1;1;;40;3;;;;5;1;1;;;4;;1;;;;;;;;11;;;2;1;1;;;;;1;;;;;3;3;;;16;1;1;1;3;1;2;1;1;2;1;1;1;1;4;;3;12;2;;;;5;2;1;1;;1;1;;2;1;16;1;;1;9;;5;1;1;1;1;1;1;;;2;;2;1;30;1;1;1;;6;;;;5;;3;2;1;;1;1;2;2;;;2;;2;2;;;;2;2;2;;;;;;;;;;;3;2;2;1;2;;1;;;;;4;4;;;;;4;;4;4;;;;294
36278-5490;20120202;insucesso;3;1;2;2;;43;;;;;1;;;;;2;;2;;;;;;;;14;;;6;4;3;2;;;;;;1;;;;;;;6;2;2;2;;;;;;;;;;;;;;13;1;;;1;6;;4;2;;1;;;1;;9;3;;2;7;;3;1;;;;;;;;;;;;43;;3;;;15;;;;8;;4;3;3;3;;;;;;;3;;2;;1;1;1;5;1;;4;1;;4;1;3;;;;;3;1;1;2;;;;;;;;;;;;;;1;;;;;;;269
36306-5490;20120202;insucesso;2;2;;;;19;1;;1;;3;;1;2;;1;;1;;1;;;;;;4;;;1;;;;;;;;3;;;;1;1;;;5;;;;;;;1;;1;2;2;2;1;3;;;4;;;;;2;;1;1;;1;1;;2;;3;;;;2;;2;1;1;;;1;1;1;;;;;;14;;;1;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;;7;1;1;;4;4;1;;;;;;;;;;;;;;126
36328-5061;20120201;insucesso;;;;;;36;2;;;;5;2;;1;;4;;2;;;;;;;;12;;;4;3;2;1;2;2;;;;1;;;1;1;1;1;15;;;;3;1;2;;5;2;;;;2;6;4;5;8;2;;;;;;;;;3;2;2;;1;10;2;;;7;1;;;;1;;;;;;3;2;;;33;4;4;1;1;14;1;1;1;6;;5;2;;;3;3;6;5;2;;9;;8;1;3;1;;23;4;2;10;3;2;3;1;2;;1;1;;;;;;5;2;;;;;;;;3;2;2;;1;;;;;;;353
36331-4917;20120201;SUCESSO;4;3;1;1;1;90;4;;;1;5;1;;3;;13;3;7;2;;;1;;;;19;1;;3;;;;2;1;;2;3;5;1;1;7;7;1;1;15;;;;3;;;;;;2;2;2;;5;;1;19;4;;;1;3;1;1;;;8;3;;1;;33;9;1;;15;3;1;;;7;3;1;;2;3;12;;9;;74;;2;2;1;19;;1;;9;;4;3;;;;;2;1;;;5;;3;;1;1;1;12;2;2;5;2;2;1;1;1;1;;;;5;3;3;1;9;1;;;3;1;3;9;8;52;20;12;6;11;2;4;4;2;1;;682
36347-5799;20130101;insucesso;1;1;;;;31;4;2;;1;2;;;;;2;;1;;;;;;;;12;;;3;1;;;2;2;;;;;;;;;;;3;;;;;;;;;;1;1;1;;;;;3;;;;;;;;;;;;2;1;;5;;;;1;;;;;;;;;1;2;3;2;;;34;1;;;;7;;;;2;;;;;;;;2;2;2;1;6;;5;;5;3;2;5;3;1;5;3;1;3;2;2;;1;3;3;1;1;1;;2;;;;;;;2;2;;;;;3;;2;2;;1;;212
36350-5799;20130101;insucesso;;;;;;31;2;2;;1;2;1;;1;;4;;2;;;;;;;;8;;;4;1;1;1;1;1;;;;1;;;;;;;4;;;;2;1;1;;;1;;;;1;1;;;2;;;;;;;;;;1;;;;;6;4;;3;2;;;;;1;;;;;1;;;;;41;1;1;2;;8;1;1;;3;;2;1;1;1;;;1;1;;;1;;1;1;1;;;1;1;;1;;;;;;;;;;;;;;4;;1;;;;;1;1;2;;;;5;;1;1;1;;;184
36352-5489;20120202;insucesso;;;;;;17;1;;;1;;;;;;;;;;;;;;;;7;;;2;;;;1;1;;;;1;;;;;;;3;;;;;;;1;;2;;;;;;;;1;;;;;1;;;;;;;;;;3;;;;;;;;;;;1;;2;1;;;;;27;;2;2;;11;1;1;;6;;4;2;1;;;;;;;;2;;2;;1;;;4;;;2;;;;;;;;;;;;;;1;;;1;;;;;;;;;;2;;;;;;;118
36383-5490;20120202;insucesso;1;1;;;;51;2;;;1;3;;1;3;;;;;;;;;;2;2;17;;1;9;4;2;2;;;;;;5;;;;;;;3;;;;1;1;;1;1;1;1;1;1;;5;4;1;12;2;;;;4;1;3;2;;4;4;4;;;11;1;;1;10;1;2;2;2;4;4;;;;;6;;6;5;39;1;1;1;;14;;;;4;;2;2;1;;1;1;1;1;1;;1;;1;;1;1;1;1;;;1;;;1;;1;;;;;1;1;1;;3;1;;2;;;;1;1;28;2;;;5;;1;1;1;;;347
36383-6401;20130102;SUCESSO;2;2;;;;36;6;;;;6;1;;7;;1;;1;;;;;;;;3;;;2;1;1;1;;;;;;4;2;1;;;;;12;;;;3;;;1;;;2;2;2;;9;;5;15;2;;;;4;;1;;;8;5;;;;13;1;;;13;2;3;1;;7;4;;;;1;8;;8;;3;;;1;1;2;;1;;1;;1;1;1;1;1;;1;1;1;;2;;2;;2;;;2;1;;2;1;;;;;;;;;2;2;2;;1;;;;1;;;5;5;13;3;1;1;7;2;4;4;2;4;;297
36400-5490;20120202;insucesso;5;2;4;4;;27;1;;;1;3;;;;;;;;;;;;;;;9;;;4;2;1;;;;;;;;;;;;;;12;4;4;4;5;;1;;;1;1;1;1;;1;;1;1;1;;;;;;;;;;;;;;1;;;;1;1;;;;;;;;;;;;;;28;1;1;;;12;;;;5;;1;;;;;;2;1;1;;2;;1;;1;;;1;1;1;1;1;1;;;;;;;;5;2;2;4;;;;;;;;;;;;;;;;;;;;;179
36400-5799;20130101;SUCESSO;2;2;;;;47;1;;;;4;1;;6;;4;;2;;1;1;;;;;16;;;6;3;1;;5;5;3;;;2;1;1;1;1;;;7;;;;2;;;;;;1;1;1;;6;;1;5;3;1;1;1;3;2;1;;;1;;;;;6;;;;4;1;2;1;;;;;;;;;;;;34;2;;1;1;14;;;;5;;3;1;;;;;4;3;3;;9;;8;;6;5;4;9;7;3;7;6;3;5;5;4;4;2;1;;2;2;2;;;;;;;;;3;2;2;;;;3;;2;2;1;;;347
36413-5489;20120202;SUCESSO;2;1;1;1;;34;6;;;3;2;;;;;1;1;;;;;;;;;17;1;;3;;;;;;;;;2;2;2;;;;;2;1;1;1;1;;;1;;;1;1;1;;;;;3;2;;;;;;;;;;;;;;6;1;;;2;1;;;;;;;;;1;;;;;31;;1;2;1;6;;1;;;;;;;;;;1;;;;2;;1;;1;;;1;;;1;;;;;;;;;;2;1;1;1;1;;;;;;;3;3;;;;;3;;3;3;;;;175
36430-5489;20120202;insucesso;;;;;;9;1;;;;1;;1;;;;;;;;;;;;;3;;;3;2;;;;;;;;;;;;;;;2;;;;;;;1;;1;;;;;;;;2;;;;;2;;1;;;1;;;;;3;;;;2;;2;1;;;;;;1;1;;;;;5;;1;1;1;3;1;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;57
36444-5490;20120202;SUCESSO;2;1;1;1;;60;3;;;3;4;1;;;;8;1;5;2;1;1;;1;;;26;2;;10;3;3;1;;;;1;2;1;;;;;;;10;;;;3;;;1;;1;1;1;1;;;;;13;8;3;2;3;2;1;1;1;;;;;;;18;6;2;2;13;8;2;1;1;;;4;3;;2;6;;4;;69;2;3;5;4;25;;2;;11;2;8;5;3;2;1;;3;2;2;;6;;4;;3;3;2;5;2;1;4;2;1;3;2;2;1;;1;;2;1;1;1;3;3;;;2;;2;5;4;3;;;;5;;4;4;;4;;503
36510-5489;20120202;insucesso;;;;;;18;2;1;;;1;1;;;;;;;;;;;;1;1;4;;;1;1;;;;;;;;;;;1;1;;;2;;;;2;;;;;;;;;;1;;1;4;2;;;1;1;1;1;;;1;1;4;;;4;;;;4;1;;;;1;1;;;;1;4;;4;2;16;2;;1;1;8;;;;4;;2;1;;;;;1;;;4;5;1;4;;2;;;12;1;;4;1;;;;;;;3;3;;;;;1;;;;;;;;;;;;;;;;;;;;154
36543-5384;20120202;SUCESSO;1;1;;;4;40;3;;;3;7;3;;2;;6;;2;;;;;3;;;8;;;3;;;;;;;4;;1;1;1;1;1;2;2;14;;;;4;;;2;;1;;;;;5;;1;12;1;;;;2;;;;;2;1;;;2;16;;;;8;1;1;;;1;1;4;1;;4;2;;;;17;;1;3;;6;;2;;2;;1;1;1;;;;;;;;2;;2;;;;;3;1;;;;;;;;;;;;1;1;1;;8;2;;;;;;1;1;;;;;1;;1;1;;;;245
36545-5384;20120202;insucesso;3;1;2;2;;19;;;;;9;;4;;;1;;;;;;;;;;1;;;;;;;1;1;;1;;;;;;;;;15;1;1;1;;;;6;;1;1;1;1;;;;;2;;;;;1;;;;;;;;1;;3;;;;2;;1;;;;;1;1;;;;;;;14;;1;;;4;1;;;3;;1;1;;;;;3;3;1;;5;2;3;;1;1;1;9;1;;1;1;;1;1;1;;;;;3;1;1;2;3;1;;;;;;;;;;;;;;;;;;;156
36589-5489;20120202;insucesso;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;4
36589-6400;20130102;insucesso;;;;;;5;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;1;;;;;2;;;1;;1;;1;;1;;1;;;;;;;;;;1;;1;;1;;;1;;;1;;;;;;;;;;;;;;1;1;;1;;;;;;;;;;;;;;;;;25
36589-6895;20130201;insucesso;;;;;;9;;;;;;;;1;1;1;;;;;;;1;;;4;;;2;;;;1;1;;;;1;;;;;;;1;;;;;;;1;;;;;;2;1;;1;2;;;;;1;;1;;;;;;2;1;4;;;;1;;;;;;;2;1;;3;;;;;16;;;1;;4;;1;;2;;2;1;1;1;1;1;1;1;;;5;1;5;1;2;1;;7;3;1;3;2;1;1;;;;;;;;;;;3;;2;1;;;;;;;;;;1;;;;;;;119
36615-6895;20130201;insucesso;;;;;;22;2;;;1;2;;;;;5;;;;;;;;;;8;;1;5;1;1;1;;;;;;;;;;;;;4;;;;1;;;;;2;;;;;;;;2;;;;;;;;;;1;;;;;8;2;;;2;;;;;1;;1;;1;;;;;;15;;1;1;1;7;1;;;2;;2;1;1;;1;1;3;3;3;;4;1;3;;3;2;1;3;3;2;3;3;2;2;2;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;153
36637-5489;20120202;SUCESSO;2;1;;;;77;23;;;4;5;1;;;;7;;5;;3;1;;2;;;26;1;;8;4;2;;7;6;4;;;3;1;1;2;2;;;11;;;;2;;;;;;1;1;1;;;;;16;2;;;;10;1;5;3;3;1;1;;;1;19;2;;1;12;;8;3;1;1;1;2;;2;1;1;;1;;127;2;1;4;3;34;;3;;17;2;10;6;4;1;2;;5;1;1;;16;2;10;;9;5;4;14;5;3;11;4;3;5;2;4;2;3;4;;2;2;1;;3;1;;;;;;4;4;;;;;9;2;4;4;;;;677
36672-5489;20120202;insucesso;;;;;;5;1;;;;;;;;;1;;;;;;;;;;2;;;1;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;1;;;;1;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;2;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;2;;1;;;;;;;;;;;;;;27
36694-5489;20120202;insucesso;;;;;;5;;;;;;;;;;;;;;;;;;;;3;;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;2;;;;1;;;;;;;1;;1;;;;;;5;;;2;1;5;;1;;2;;1;;;;;;;;;;1;;1;;1;1;1;1;1;1;1;1;1;1;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;51
36699-4917;20120201;insucesso;;;;;;14;;;;;;;;;;2;;;;;;;;;;5;;;3;;;;;;;1;1;;;;1;1;;;1;;;;;;;;;;;;;1;1;;;4;;;;;3;;2;1;;;;;;;9;;;;4;;3;2;1;;;;;2;;2;;2;2;17;1;;2;1;6;;1;1;3;;1;1;;;;;;;;;4;;3;;1;1;1;3;;;1;;;1;;1;;1;2;1;;;;;1;;1;;2;;1;;;;;;;5;;;;;3;3;138
36758-5799;20130101;SUCESSO;3;;2;1;;27;6;;;1;3;1;;;;2;;1;;;;;;;;10;2;;4;1;1;1;;;;;;;;;;;2;2;9;1;1;1;4;;;1;;2;;;;;;;;6;;;;;;;;;;;;;;;8;1;;;2;;;;;;;1;1;1;1;1;;1;;34;;4;;;22;;;;10;;6;5;4;2;1;;1;;;;6;2;4;;2;2;2;5;1;;4;;;2;;2;;1;;;3;1;;1;1;;;;;;;3;3;;;;;3;;3;3;;;;255
36787-6401;20130102;SUCESSO;2;1;1;1;;41;2;;;1;10;2;;;;3;;3;;3;1;;;;;13;1;;5;1;1;1;;;;;2;1;1;1;;;;;17;1;1;1;5;;;4;;1;1;1;1;;2;;1;19;2;;;;14;1;7;5;3;1;1;;1;1;8;;;;7;;6;3;2;1;1;;;;;;;;;29;;3;2;2;8;;2;;1;;1;1;;;;;1;1;;;4;1;3;;1;;;3;1;1;1;1;1;;;;;;;;2;1;1;1;7;4;;;4;4;3;4;4;;;;;5;;4;4;;;;333
36914-5490;20120202;insucesso;;;;;;26;;;;;;;;;;4;;3;;;;;;;;8;;;2;;;;2;2;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;10;2;;;1;;;;;;2;2;;2;;10;1;;;8;;;;;1;1;;;;1;;;;;38;;;2;1;17;;2;1;5;;3;2;2;2;1;1;1;1;;;4;;4;;;;;4;;;;;;;;;;;;;;;;;2;;;1;2;1;2;4;3;;;;;5;;3;3;;1;1;209
36992-5384;20120202;SUCESSO;2;1;1;1;;67;;;;;8;1;;6;;12;2;5;;1;1;1;3;;;17;;;6;2;1;1;;;;;;1;1;1;4;4;4;4;30;1;1;1;4;;;;;3;1;1;1;;10;;7;34;4;;;;6;;5;2;2;5;3;;3;;38;4;2;2;25;3;4;3;2;3;3;4;3;1;;1;;1;;70;;3;1;1;25;;;;9;;3;1;;;;;1;1;1;;5;;5;;2;1;;17;1;1;2;1;1;1;1;;;;;;2;1;1;1;;;;;;;;8;8;;;;;8;;8;8;;;;580
