IdAluno;Bimestre;Resultado;1>;1>2>;1>46>;1>46>2>;14>;14>14>;14>14>14>;14>14>41>;14>2>;14>2>14>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>30>31>30>;14>31>31>;14>31>41>;14>32>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>43>44>44>44>;14>48>;14>49>;14>49>49>;14>7>;14>7>5>;14>7>5>5>;14>8>;16>;16>31>;16>31>14>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>41>;2>2>;2>3>;2>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>31>30>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>31>;30>31>30>;30>31>30>31>;30>31>30>31>30>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>31>;31>31>30>;31>32>;31>41>;31>41>41>;31>48>;32>;32>14>;32>31>;32>31>30>;41>;41>14>;41>2>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;42>;43>;43>14>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;43>44>44>44>44>44>44>;44>;44>14>;44>14>41>;44>14>41>41>;44>14>43>;44>14>43>44>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>44>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>30>;48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;6>6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;8>;8>7>;Total Geral
29011-4114;20120101;SUCESSO;1;;1;1;32;1;;1;;;4;;2;;1;;1;;;;;;;13;;5;1;1;2;6;6;1;1;;1;;;;;;1;1;;;;6;;;;1;;;;1;;;;;5;;1;7;3;;;1;4;3;1;1;;;;;;;2;;9;;;;6;;;3;1;1;;;;;1;1;;;;2;1;;;;40;1;3;2;;1;17;;1;9;1;4;2;1;;3;1;6;3;;;;16;;1;12;2;2;2;1;;;20;3;2;;1;1;3;2;2;3;2;1;1;;;1;1;1;;;1;2;;;2;;3;;1;1;1;;;;;2;;1;1;;;;335
29016-4114;20120101;insucesso;1;1;;;24;;;;2;;1;;2;;1;;;;1;;;;;6;;2;;;;;;;;;;;;;;;1;1;;;;4;;;;1;;;2;;;;;;3;3;;6;;;;;;;;;;;6;2;;;;;9;5;;1;6;;;;;;;6;2;;1;1;2;;;;2;1;2;;20;;1;1;;1;7;;1;2;;2;1;1;;;;;;;;;3;;;2;;1;;;;;5;;;;;;2;;;1;;;;;;2;1;1;1;1;;;;;;;;;;;;5;1;1;1;4;;;;2;3;3;185
29016-5061;20120201;SUCESSO;1;;1;1;24;2;;;5;3;;;4;;2;;;;;;;;2;5;;;;;;1;1;1;;;1;;;;;;1;1;;1;1;8;;;;3;;;;;;;;;1;;;7;3;;;1;;;;;;;4;3;3;1;;;12;7;1;1;6;3;;;;;;3;3;3;;;;;;;5;;3;2;15;;;;;;4;;;1;;;;;;;;;;;;;1;;;1;1;1;;;;;1;1;1;;1;1;1;1;;;;;;;;;;1;;;1;;;;;;2;;1;1;1;;;;;1;;;;;;;180
29379-6895;20130201;insucesso;;;;;24;2;;;;;;;;;;;;;;;;;;6;;2;1;;;1;1;1;;;;;1;;;;1;1;;;;1;;;;;;;1;;;;;1;1;1;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;1;;;;;16;;1;;;;5;;;2;;;;;;;;;;;;;3;;;3;1;1;1;;;;3;1;1;;1;1;1;1;1;1;;;;;;1;1;;;;;7;2;;;;1;;;;;5;;;;1;;;;1;;;113
30492-4433;20120102;insucesso;1;1;;;51;1;;;4;1;;;8;1;2;;;;;;2;;;8;2;3;1;;1;3;3;2;;;1;;1;;;3;3;3;3;;;8;;;;2;;;;;1;1;1;;1;;;10;2;;;;3;;2;1;;;;;;;;;20;7;1;1;6;1;;2;1;1;;;;;5;1;;1;1;;;;;;30;2;1;4;1;1;13;;1;3;;1;1;;;1;1;3;3;;;2;12;;;10;1;4;4;1;;;13;7;2;1;1;1;6;3;2;4;3;1;1;;;3;3;1;1;1;;2;;;;;3;1;2;;;33;20;10;6;7;1;;;3;3;3;437
30492-6030;20130101;SUCESSO;1;;;;15;;;;3;;;;1;;1;;1;1;;;;;;2;;1;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;7;;;;;3;;2;1;;;;;;;2;;5;;;;4;;;1;1;;;;;;;;;;;;;;;;8;1;;1;;1;4;;;1;;;;;;1;;1;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;3;1;6;;;;3;1;;;;2;;96
30586-4434;20120102;SUCESSO;1;1;;;13;1;;;3;3;1;;1;;1;;;;;;;;;4;;2;1;1;;3;1;1;;;;;;;;;;;;;;6;;;;4;;;;;1;1;1;;1;;;2;1;;;;1;1;1;;;;;;;;1;1;2;;;;2;;;1;1;;;;;;;;;;;;;;;;7;;1;1;;1;3;;1;1;1;1;;;;1;1;1;1;1;;;5;;1;2;;2;1;1;;;2;1;;;;;2;1;;1;;1;;;;2;2;1;1;1;;1;;;1;;;;;2;2;;;;;1;;1;1;;;;124
30588-4435;20120102;insucesso;1;;1;1;10;;;;1;;;;1;;1;;;;;;;;;4;;1;;;;1;1;;;;;;;;;;;;;;;2;1;1;1;;;;;1;;;;;;;;3;2;;;2;;;;;;;;;;;;;3;;;;2;1;;;;;;;;;;;;;;;;;;;9;;1;1;;;1;1;;;;;;;;;;2;2;;;;5;;;5;;;;;;;11;1;;;1;1;1;1;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;87
30588-5799;20130101;insucesso;1;;1;1;7;;;;;;;;;;;;;;;;;;;3;;;;;1;3;3;2;;;;;;;;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;1;1;1;1;;5;;;5;1;3;2;1;;;9;1;1;;;;5;1;1;3;1;1;1;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;76
30588-6590;20130201;insucesso;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
30609-5061;20120201;insucesso;;;;;4;1;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;3;;;;1;;1;1;1;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23
30687-4433;20120102;SUCESSO;;;;;19;2;;;2;;;;;;;;;;;;;;3;4;;3;1;1;;;;;;;1;;2;;;;2;2;;;;4;;;;;;1;;;;;;;2;;1;4;;;;;1;;1;;;;1;1;;;;;7;1;;;2;;;1;1;;;1;1;;1;1;;1;1;1;3;;2;1;11;;1;;;;5;;;1;;1;;;;;;;;;;;1;;;1;;;;;;;3;1;1;;;;;;;;;;;;;1;;;;;;3;1;;1;1;1;1;;;;20;10;4;2;3;2;;;1;;;160
30696-4435;20120102;SUCESSO;1;;1;;14;;;;1;;;;;;;;;;;;;;;2;;1;;;;2;2;1;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;1;;;;1;;;;;;;;;;;;;;;;;;;;8;;;1;;1;3;;1;;;;;;;;;;;;;;2;;;2;;1;;;;;10;;;;;;3;;;1;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;67
30705-5799;20130101;SUCESSO;1;;1;1;17;2;;1;2;;;;2;;;;;;;;;1;;9;;;;;;;;;;1;2;;;;;;;;;;;2;1;1;1;1;;;;;;;;1;1;;1;1;;;;;;;;;;;;;;;;;5;1;;;;;;;;;;;;;1;;;1;;1;;;;;12;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;4;1;;1;1;2;2;1;1;1;;;;;1;;1;1;;;;92
30739-4434;20120102;SUCESSO;1;1;;;28;;;;;;2;;1;;1;1;;;;;;;;6;;;;;;1;1;;;;;;;;;;1;1;;;;4;;;;2;;;;;1;1;1;;2;;1;3;1;1;;;1;;1;;;;1;1;1;1;;;5;2;;;3;1;1;1;1;;;1;1;1;;;;;;;;;;;32;;;1;;;6;;1;1;;;;;;;;;;;;;7;;;6;1;1;;;;;20;3;;;;;5;2;;3;2;3;2;1;;4;2;1;1;1;;1;;;;;;;;;;12;4;2;1;4;1;;;3;1;;220
30777-4433;20120102;SUCESSO;1;;1;1;20;1;;;4;;;;2;;;;;;;;1;;;11;;6;1;1;;1;1;1;;;;;;;;;1;1;;;;13;;;;1;;1;;1;;;;;;;;5;1;;;1;;;;;;;1;1;;;1;;9;;;;5;1;;;;;;;;;1;1;;1;;;;;;;26;1;2;2;;1;13;;1;5;;3;2;2;;1;1;2;2;;;;4;;;4;1;2;1;1;1;;11;2;1;;;;4;;;2;;1;;1;;1;1;1;;;1;;;;;;;;;;;;;;;;;;;;;;203
30808-4435;20120102;SUCESSO;2;2;1;1;22;2;;;;;;;7;;7;;7;4;;;;;;6;;3;2;1;;3;2;1;1;;;;1;;;;1;1;;2;2;7;;;;1;;;;2;1;1;1;;;;;25;1;;;1;16;1;11;9;8;6;4;1;;;;;20;1;;;17;;;13;9;8;7;1;;;2;1;;2;;;;;;;25;;2;5;;3;7;;1;3;1;1;1;1;;1;1;2;1;1;;;6;;3;3;1;3;2;;;;6;2;;;1;1;6;1;;4;1;2;;2;;2;1;2;2;2;1;2;1;;1;1;;;;5;5;1;;;;6;;3;3;1;;;397
30834-4435;20120102;SUCESSO;1;1;;;34;4;;;6;2;;;16;2;12;;2;1;5;4;1;;;8;;2;;;;;;;;;;;;;;;1;1;;3;3;10;;;;4;;2;;1;1;1;1;;1;;;28;4;2;2;;8;1;4;2;1;;9;5;2;2;2;1;25;5;2;1;23;1;;6;4;2;1;9;5;2;1;1;;;;;;;;;18;2;;;;;3;;;;;;;;;;;1;1;;;;4;;;4;;1;;;;;11;1;1;;;;1;;;;;;;;;;;1;1;1;;1;;;;;;;;3;3;;;;;3;;3;3;;1;;359
30904-4603;20120102;SUCESSO;2;1;1;1;33;1;;;2;1;;;3;;3;2;;;1;1;;;;14;1;4;2;1;;3;2;1;;;;;1;1;1;;1;1;;;;4;1;1;1;2;;;;;1;1;1;;1;;;12;5;1;1;1;;;;;;;4;4;2;2;;;13;;;;11;4;1;;;;;4;4;2;1;;;;;;;;;;28;;1;1;;1;6;;;3;;1;;;;1;1;1;1;;;;8;;;6;3;3;1;;;;12;3;1;;2;2;3;;;1;;;;;;1;;2;1;1;1;;;;;;;;;2;2;;;;;2;1;2;2;;;;277
30926-4433;20120102;SUCESSO;1;;1;1;33;6;;2;6;3;3;;;;;;;;;;;;;9;;4;1;1;1;2;2;1;1;1;3;2;;;;;;;;;;9;1;1;1;4;;1;;;;;;;4;;2;3;;;;;2;;2;1;1;;1;1;;;;;3;;;;3;;;2;2;1;1;;;;1;1;;;;;;;;;21;1;1;1;;1;5;;;1;;1;1;;;;;1;1;1;;;7;;;6;;3;3;1;1;;11;1;;;1;1;4;1;;3;1;1;1;1;;2;2;1;;;1;2;;;;;4;1;3;2;2;;;;;3;;1;1;;2;;242
30940-4435;20120102;SUCESSO;1;;1;1;55;1;;;4;;;;14;1;10;;4;4;;;1;2;;8;1;4;2;1;;3;2;1;1;;;;;;;;4;4;;3;2;12;1;1;1;3;;1;;4;;;;;1;;;37;2;;;;19;1;12;9;6;3;4;2;;;4;1;34;4;1;;28;1;;12;8;6;4;2;1;;4;3;;2;1;;4;;2;1;36;1;1;5;;5;13;;2;4;;2;1;1;;;;3;2;2;;;15;;2;13;1;7;4;1;1;;22;4;3;;;;8;1;1;4;1;1;1;1;;1;1;2;;;1;2;2;;;;1;;1;;;;;;;1;1;;;;;;559
30965-4433;20120102;insucesso;;;;;18;5;;;1;1;1;;3;;1;;;;;;1;;;2;;;;;;1;1;;;;;;;;;;;;;;;6;;;;2;;1;;;;;;;1;;;5;;;;;4;;3;2;;;1;1;;;;;9;;;;5;;;4;3;2;;1;;;3;2;;2;1;;;;;;16;;;2;;1;3;;1;1;;;;;;2;2;2;2;;;;5;;;5;;1;1;1;;;12;1;;;;;3;1;;2;;2;;1;1;;;;;;;;;;;;;;;2;2;;;;;3;;2;2;;;;172
30968-4434;20120102;SUCESSO;1;1;;;18;;;;1;;;;2;;;;;;;;1;;;7;;3;1;;;;;;;;;;;;;;2;2;;;;5;;;;;;2;;;1;1;1;;3;;1;3;;;;;1;;1;1;;;;;;;1;;9;1;;;3;;;1;1;1;;;;;1;1;;1;;;1;;1;1;10;3;1;;;;4;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;104
30969-5799;20130101;insucesso;;;;;9;1;;;;;;;;;;;;;;;;;;3;;;;;;1;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;;;;;6;;;;;;1;;;;;;;;;;;;;;;9;5;;;;;;;;;;;;;;;;;;;;47
30982-4435;20120102;insucesso;1;;1;1;25;7;;1;2;;;;5;;3;;1;;;;1;;;8;1;3;2;1;1;;;;;;;;1;1;;;1;1;;;;3;1;1;1;1;;1;;1;;;;;;;;8;2;;;1;3;;1;;;;1;;;;;;8;1;;1;8;2;;3;1;;;;;;1;1;;1;;;;;;;17;;;3;1;2;4;;;2;;1;1;;;2;;4;1;;;1;6;6;;2;;;;;;;2;;;;;;;;;;;;;;;1;;1;;;1;;;;;;;;;1;1;;;;;1;;1;1;;;;183
30985-4433;20120102;insucesso;1;;1;;12;;;;;;2;2;;;;;;;;;;;2;2;;1;;;;;;;;;;;;;;3;;;;;;9;1;1;;;;1;;1;;;;;4;;4;2;;;;;1;;;;;;1;;;;1;;6;;;;2;;;1;;;;;;;1;1;;;;;2;;1;;17;;1;1;;;4;1;1;1;;;;;;;;;;;;;4;;;4;;1;1;1;;;21;;;;;;3;;;1;;1;;;;1;1;1;;;;;;;;;;;;;;9;1;1;1;6;;;;3;3;3;159
30988-4603;20120102;insucesso;1;1;;;17;1;;;;;;;3;;;;;;;;;;;9;;4;2;1;;3;3;3;;;;;1;1;;;;;;;;2;;;;1;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;3;1;1;;;;;;;;;;;;;;;3;;;;;;;15;;1;1;1;;4;;1;2;;1;1;;;;;1;1;1;;;5;;;5;2;5;3;2;1;1;7;4;1;1;3;3;7;3;1;4;1;3;1;2;1;;;1;1;1;;;;;;;;;;1;1;;;;;1;;1;1;;;;168
30993-4435;20120102;insucesso;1;1;;;35;2;;;2;;;;19;1;16;;5;;2;;;;;6;;;;;1;2;2;1;;;;;;;;;1;1;;3;;4;;;;;;;;1;;;;;;;;23;1;;;1;8;;4;1;;;3;2;;;;1;25;3;1;;19;;;7;3;1;;3;2;;;;;;;1;3;3;;;12;;1;1;1;;2;1;;;;;;;;;;2;1;1;;;7;2;1;5;1;3;;;;;6;2;1;;1;;3;1;1;;;;;;;2;2;1;1;1;;1;;;1;;;;;;;;;;;;;;;;;;286
30996-4435;20120102;SUCESSO;1;;1;1;16;;;;1;;;;5;;2;;;;;;1;1;;2;;2;;;;;;;;;;;1;1;1;;1;1;;;;4;;;;;;;;;;;;;;;;7;;;;;3;;1;1;;;;;;;2;;11;1;;;5;;;2;;;;;;;1;;;2;;;;;;;19;;;1;;;10;;1;1;;;;;;1;1;1;1;;;;7;;;6;;4;2;;;;10;2;1;;;;4;1;1;2;1;;;;;;;1;;;1;1;;;;;1;;;3;2;13;6;;;6;1;3;2;;;;195
31077-4434;20120102;SUCESSO;1;;1;1;30;1;;;4;;;;5;;1;;;;;;2;1;;7;;1;;;2;1;1;1;;;1;1;2;1;1;;;;;;;5;1;1;1;1;;;;1;;;;;;;;3;1;;;1;1;;1;1;1;;;;;;;;7;;;;3;1;;1;1;1;1;;;;2;2;;2;;;;;;;16;1;1;;;;2;;;;;;;;;1;1;3;3;;;;3;;;3;2;1;;;;;3;3;1;;;;1;1;;;;;;;;;;1;;;1;;;;;;1;;1;2;2;6;2;1;1;6;1;2;2;1;;;182
31136-5799;20130101;SUCESSO;1;1;;;56;1;;;;;;;17;1;5;1;;;3;;1;4;;15;1;3;2;2;1;6;5;4;2;1;3;3;;;;;;;;1;1;3;;;;;;;;;1;1;1;;1;;;11;4;1;1;;1;1;;;;;4;1;;;;;29;3;;1;9;2;1;1;;;;4;1;;2;;;6;1;;;;;;55;;2;3;;;8;;;4;;4;;;;1;1;5;4;3;;;10;;;9;1;7;3;2;1;;20;4;3;;2;2;16;4;3;7;2;5;1;1;;;;1;1;1;;3;1;;;1;4;2;4;7;4;7;3;1;1;5;;4;3;1;;;479
31155-4433;20120102;SUCESSO;2;2;;;18;1;;;1;;;;1;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;8;;;;1;;;;;1;1;1;;;;;1;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;19;;;;;;5;;;2;;2;1;1;;;;1;;;;;4;;;1;;;;;;;7;1;;;;;3;1;;2;;1;;1;;1;1;2;2;2;;;;;;;;;;;;;;;;;;;;;;;103
31158-5799;20130101;SUCESSO;1;1;;;9;;;;1;;;;1;;1;;;;1;;;;;3;;;;;1;1;1;1;1;;;;1;;;;1;1;;;;1;;;;1;;;;;1;1;1;;;;;1;;;;;;;;;;;1;;;;;;2;1;;;1;;;;;;;1;;;;;;;;;;;;;9;;;;;;1;;;;;;;;;;;1;1;1;;;1;;;1;1;1;1;1;1;;3;1;1;;1;1;1;1;1;1;1;1;1;1;;;;1;1;1;;;;;;;;;;;;2;1;1;1;1;;;;1;;;83
31165-4448;20120101;insucesso;1;;1;1;27;2;;1;6;;;;2;;1;;;;;;;;2;9;;4;;;1;1;;;;;;;;;;1;;;;;;10;1;1;1;2;;1;;;;;;;1;;1;3;1;;;;1;;;;;;1;;;;;;4;;;;3;1;;1;;;;1;;;1;1;;2;1;;2;1;;;20;;1;1;;;6;1;1;1;;;;;;2;1;4;3;2;2;;10;;;8;1;4;3;2;1;1;20;1;1;1;;;4;;;3;;2;;1;1;1;1;1;;;1;;;;;;;;;;;9;4;2;;1;;;;1;1;1;234
31191-4434;20120102;SUCESSO;1;1;;;67;2;;1;9;3;;;15;;11;;4;2;1;;1;2;;13;1;7;5;5;2;1;1;1;1;1;9;8;5;3;3;;;;;;;13;;;;9;;4;;1;1;1;1;2;;;;30;5;1;1;1;12;2;4;1;;;6;4;;;1;2;29;5;1;1;23;3;1;9;3;1;;1;;;3;3;;2;;1;;;;;28;3;1;8;;2;13;;4;8;3;7;4;3;;1;1;4;3;1;;;11;;1;8;2;3;2;1;;;12;4;2;;;;5;2;1;4;2;1;1;;;2;2;1;1;1;;12;4;2;1;;12;7;10;12;9;;;;;12;1;10;8;;;;637
31210-5799;20130101;SUCESSO;2;1;;;12;;;;;;;;1;1;;;;;;;;;;4;;2;1;;;;;;;;;;;;;;;;;;;3;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;2;1;;1;;;;;;;;;;;;;;;;;;;;;28;;;1;;;6;;1;2;1;;;;;;;;;;;;5;;;5;;4;2;2;1;;12;2;1;;;;11;2;1;4;2;3;2;1;;;;2;2;1;;;;;;;;;;;;;;;;;;;;;;;137
31256-5061;20120201;insucesso;;;;;19;;;;4;2;;;1;;;;;;;;;;;8;;3;;;;3;1;;;;;;;;;;;;;;;7;;;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;11;;1;;;;5;1;;2;;;;;;;;;;;;1;3;1;;1;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;81
31271-4434;20120102;insucesso;1;;1;1;15;1;;;3;;;;4;;2;;1;;;;;;;;;;;;;1;1;1;;;;;;;;;1;1;;1;;6;1;1;1;1;;1;;;;;;1;;;;7;;;;;5;;2;1;;;1;;;;1;;12;;;;4;;;3;1;;;;;;;;;3;1;;;;;;22;;;2;;;5;;1;1;;1;;;;;;;;;;;5;;;5;;1;1;1;1;;11;1;;;1;1;1;1;;1;;1;;1;;;;1;;;1;1;1;1;;1;1;;;1;;;;;;1;;1;;;;;163
31295-4433;20120102;SUCESSO;2;2;;;32;1;;;3;;;;7;;;;;;;;1;;;4;;3;;;;;;;;;;;2;1;;;1;1;;;;10;;;;1;;;;;;;;;;;;4;1;;;;;;;;;;;;;;;2;12;2;1;;2;1;;;;;;;;;1;;;;;;;;;;9;;2;1;;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;;4;;;1;;;;;3;;1;1;1;1;3;;1;;;;;136
31306-4433;20120102;SUCESSO;1;;1;1;18;;;;1;;;;;;;;;;;;;;;6;;3;;;;1;1;1;1;;;;;;;;1;1;;;;7;1;1;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;3;1;;1;;;;;;;;;;;;;;;;1;;;;;15;1;1;1;;;3;;;;;;;;;;;2;2;;;;4;;;3;;1;1;1;1;;11;3;1;;1;1;3;1;;3;1;2;1;1;;;;1;;;1;1;;;1;;;;;;;;;;;;;;;;;;123
31311-6030;20130101;SUCESSO;2;1;;;17;;;;3;;;;3;;2;;;;;;1;;;1;;;;;1;;;;;;;;;;;;1;;;1;1;10;;;;;;;;3;1;1;1;;;;;10;;;;;3;;3;2;1;;1;1;1;;;;10;;;;7;;;1;1;;;1;;;1;;;1;;;;;;;13;;2;;;;4;;;;;;;;;;;1;1;;;;3;;;3;;2;1;1;1;;4;1;1;;;;3;;;1;;1;;1;;;;2;2;1;;;;;;;;;;;;5;;;;1;;;;1;1;;151
31313-6401;20130102;SUCESSO;1;;1;1;57;2;;1;5;;;;20;;17;;8;4;;;;2;;11;2;5;2;2;;2;2;;;4;;;3;1;1;;;;;3;3;14;;;;2;;2;;2;;;;1;;;;27;5;1;1;;16;4;7;3;1;1;1;1;;;4;2;26;;;;21;;;12;6;2;1;;;;1;;;3;1;;;;;;35;1;2;6;;3;13;;4;7;4;5;3;2;;3;2;3;2;2;;;7;;2;6;;3;3;2;;;9;2;1;;;;3;2;1;3;2;2;2;;;;;1;;;1;8;1;1;;2;;;;1;1;6;1;;;5;1;1;1;1;;;507
31316-4434;20120102;insucesso;;;;;10;;;;;;;;1;;1;;;;;;;;;1;;1;;;;;;;;1;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;1;;;;1;;;;;;;;;;;;;;;;;;;;2;;;;;;2;;;1;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;2;1;;;;1;1;1;;;4;2;1;1;3;;;;3;;;52
31317-4114;20120101;SUCESSO;3;1;2;2;28;;;;3;;;;4;1;1;;1;1;;;;;;13;1;6;2;2;;;;;;;;;1;;;;;;;;;10;1;1;1;3;;;;2;1;1;1;1;;;;4;1;;;;2;1;1;;;;2;1;1;;;;11;4;1;2;4;;;2;1;;;2;1;1;;;;;;2;1;;1;1;25;1;2;4;;1;10;;2;4;;4;2;2;;;;1;;;;;2;;;1;;;;;;;1;;;;;;;;;;;;;;;;;3;1;1;2;2;;1;;;;;;;;;;;;2;1;;;;1;;217
31331-4434;20120102;SUCESSO;1;;1;1;10;1;;;3;;;;1;;;;;;;;;;;4;;2;2;1;;1;1;1;1;;;;;;;;;;;;;3;1;1;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;5;;;3;;2;;;;;;;;;;;3;;;3;1;1;1;;;;8;2;1;;1;1;4;1;;2;;1;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;94
31336-4434;20120102;SUCESSO;3;;3;3;89;4;;1;16;4;;;8;;4;;;;1;;;3;1;15;;9;4;3;1;3;3;3;1;2;1;1;1;1;1;;;;;;;28;2;2;2;8;;1;;1;;;;1;1;;1;14;4;;;1;7;2;5;2;;;3;2;;;1;2;20;;;;13;3;;6;4;2;;2;1;;3;1;;5;4;1;1;;1;;52;2;2;4;;3;20;;2;7;1;4;2;1;;1;;4;3;3;;;10;;;8;;8;4;3;2;;22;2;1;;1;1;16;1;1;7;1;5;1;4;;1;;3;;;3;7;1;1;1;3;1;1;1;3;3;3;;;;6;1;2;2;2;;;600
31340-4433;20120102;SUCESSO;1;1;;;23;1;;1;1;;;;6;1;4;1;2;1;;;1;;;10;;2;1;1;;;;;;;;;2;2;2;;1;1;;;;6;;;;;;;;1;1;1;1;1;1;;;8;1;;;1;3;;2;1;1;;;;;;1;1;9;2;1;;5;1;;3;2;1;1;;;;1;;;;;1;;;;;24;;;1;;;7;;1;5;1;2;;;;1;1;1;1;;;;5;;;5;;4;2;1;1;;9;3;2;;;;5;2;2;2;1;1;1;1;;;;1;1;1;;2;;1;;;;;;4;4;;;;;4;;4;4;;;;242
31358-4435;20120102;SUCESSO;1;;1;1;87;4;;1;3;;9;;;;;;;;;;;;21;17;;6;2;;4;6;6;4;3;1;;;6;1;1;;2;2;;3;3;15;;;;;;;;;;;;;10;;6;39;2;;;;19;1;12;9;5;1;6;4;3;3;1;3;35;1;;;32;1;;14;8;7;3;4;4;3;2;2;;;;1;28;;26;25;53;3;;1;;1;18;;1;6;;2;1;1;;1;1;7;6;1;;;15;;;12;1;6;5;4;3;;22;4;3;;2;2;11;4;2;7;3;4;2;3;;4;4;1;;;1;6;1;;1;;;;;3;3;16;6;4;1;13;2;3;3;1;5;;826
31359-4435;20120102;insucesso;;;;;9;;;;3;;;;1;;;;;;;;;;;2;;2;1;1;;;;;;;1;;;;;;1;1;;;;4;;;;1;;;;1;;;;;1;;1;1;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;2;;;;;4;;;;;;3;;;1;;1;1;1;1;1;1;1;1;;;;3;;;3;1;;;;;;7;2;2;2;;;2;1;1;;;;;;;;;;;;;3;;;1;;1;1;;;;;;;;1;;;;;;;82
