210;110-7098;14 -1 31 -2
211;110-7098;14 -1 31 -1 2 -1 48 -1 31 -1 30 -1 30 -1 30 -1 30 -1 2 -1 7 -1 31 -2
212;110-7098;14 -2
213;110-7098;14 -1 31 -1 41 -1 30 -2
214;110-7098;30 -1 30 -1 48 -1 30 -1 30 -1 30 -2
215;110-7098;16 -1 31 -1 2 -2
216;110-7098;14 -1 7 -1 6 -1 2 -1 2 -1 31 -2
217;110-7098;48 -2
218;110-7098;2 -1 31 -2
219;110-7098;31 -1 48 -1 48 -1 48 -1 30 -1 30 -1 30 -1 30 -1 17 -1 30 -1 31 -1 6 -1 48 -1 30 -2
220;110-7098;17 -1 30 -1 31 -1 30 -2
221;110-7098;31 -1 30 -1 30 -2
222;110-7098;30 -2
223;110-7098;14 -1 31 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -2
224;110-7098;14 -1 2 -1 31 -1 30 -1 17 -1 30 -1 2 -2
225;110-7098;14 -1 2 -2
226;110-7098;31 -1 30 -2
227;110-7098;48 -1 29 -1 48 -1 29 -1 4 -1 48 -1 17 -1 30 -2
228;110-7098;30 -2
229;110-7098;30 -2
768;13016-5468;14 -1 7 -2
769;13016-5468;14 -1 7 -1 5 -1 5 -2
770;13016-5468;5 -1 5 -1 5 -2
771;13016-5468;14 -2
772;13016-5468;14 -1 14 -2
773;13016-5468;31 -1 41 -2
774;13016-5468;14 -1 41 -1 41 -1 41 -2
775;13016-5468;31 -1 30 -1 31 -1 30 -1 31 -1 30 -1 30 -1 31 -1 31 -1 14 -1 31 -1 14 -1 41 -1 41 -2
776;13016-5468;14 -1 41 -2
777;13016-5468;31 -1 30 -2
778;13016-5468;31 -2
779;13016-5468;30 -2
780;13016-5468;30 -1 31 -1 30 -2
781;13016-5468;30 -2
782;13016-5468;30 -2
783;13016-5468;31 -2
784;13016-5468;16 -1 31 -1 30 -2
785;13016-5468;14 -1 31 -1 30 -2
786;13016-5468;14 -1 31 -1 30 -1 30 -1 30 -1 30 -1 31 -1 30 -2
787;13016-5468;17 -1 30 -1 30 -2
788;13016-5468;14 -1 31 -2
789;13016-5468;14 -1 14 -1 31 -1 14 -1 2 -1 2 -1 14 -1 2 -1 14 -2
790;13016-5468;14 -1 41 -2
791;13016-5468;14 -2
792;13016-5468;41 -2
793;13016-5468;2 -2
794;13016-5468;31 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -2
795;13016-5468;48 -2
796;13016-5468;17 -1 30 -2
797;13016-5468;14 -2
798;13016-5468;14 -1 31 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 31 -2
799;13016-5468;30 -1 30 -1 30 -2
800;13016-5468;14 -1 2 -1 41 -1 41 -1 7 -1 5 -1 5 -2
801;13016-5468;48 -2
802;13016-5468;14 -1 32 -1 3 -2
803;13016-5468;14 -1 31 -1 30 -1 30 -1 30 -1 30 -1 30 -1 17 -1 30 -2
804;13016-5468;48 -1 14 -1 31 -1 30 -1 30 -1 30 -1 30 -1 17 -1 30 -1 30 -2
805;13016-5468;30 -1 14 -1 2 -1 14 -2
806;13016-5468;31 -1 30 -1 30 -1 30 -2
807;13016-5468;30 -2
808;13016-5468;30 -1 30 -2
809;13016-5468;30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -2
810;13016-5468;48 -2
811;13016-5468;30 -1 30 -2
812;13016-5468;17 -1 30 -2
813;13016-5468;14 -2
814;13016-5468;2 -2
815;13016-5468;14 -2
816;13016-5468;41 -2
1084;13179-5388;14 -2
1085;13179-5388;31 -2
1086;13179-5388;2 -1 2 -1 41 -2
1398;13298-7098;14 -2
1399;13298-7098;41 -2
1400;13298-7098;41 -2
1401;13298-7098;41 -1 41 -1 41 -1 41 -2
1402;13298-7098;41 -1 41 -1 14 -2
1403;13298-7098;14 -2
1404;13298-7098;41 -2
1405;13298-7098;31 -2
1406;13298-7098;41 -2
1407;13298-7098;14 -2
1408;13298-7098;31 -2
1409;13298-7098;48 -2
