aluno;1>;2>;3>;5>;6>;7>;8>;13>;14>;16>;17>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>14>;2>14>41>;2>41>;2>46>;2>46>1>;2>46>1>2>;3>2>;3>14>;5>5>;6>6>;6>6>6>;6>6>6>6>;7>5>;7>5>5>;7>6>;14>2>;14>2>2>;14>2>14>;14>3>;14>3>2>;14>7>;14>7>5>;14>7>5>5>;14>14>;14>14>41>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>32>;14>41>;14>41>2>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;16>31>;17>30>;30>14>;30>14>31>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>31>;30>31>30>;30>41>;30>48>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;32>31>;32>31>30>;41>2>;41>14>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>43>44>44>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>14>;44>14>41>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;46>1>;46>1>2>;46>2>;48>14>;49>48>;49>49>;
30996-4435;2;14;;4;13;9;;;33;1;;13;15;;37;7;10;;2;1;1;;2;2;;;;1;1;;;;;;;;3;6;;;4;3;;6;;;;;4;2;2;;;6;;2;;;;;2;;7;;2;;;;;;;;;1;;;;;3;;1;1;;;;4;;1;;;9;;2;;;;;3;2;2;;;;;;2;1;14;1;2;1;1;1;1;1;1;1;;6;4;2;;2;1;4;1;1;2;1;;;;;;2;;;;
36992-5384;2;30;10;8;;8;;;67;4;4;34;38;1;70;5;17;;2;;;1;1;1;1;1;1;;4;;3;1;1;1;7;;8;;;;8;8;;8;;1;6;5;1;1;1;;;12;2;5;;1;1;1;3;;17;;6;2;1;1;;;;;;4;4;4;;;6;;5;2;2;5;3;3;;4;2;2;25;3;4;3;2;3;3;4;3;1;;1;;3;;1;1;25;;9;3;1;;;;1;1;1;5;2;1;;1;1;2;1;1;1;1;;;;1;1;1;;;;
41365-7297;2;9;;1;1;4;;;21;;;4;5;;16;3;5;;2;;;1;1;1;1;1;1;1;1;;2;;;;;;;1;;;1;;;4;1;1;;;2;;;2;;;;;;;;;;;3;;;;;;1;;;;;;;2;;1;2;1;;;;;;;;;;;4;1;2;;;;;;;1;;;;1;;1;1;7;1;4;4;3;3;1;;2;1;;2;1;;;1;1;1;;;;;;;;1;1;1;;;;
29011-4114;3;18;10;1;;2;;;71;2;;18;25;1;92;29;37;2;3;4;6;;3;3;2;2;2;;2;1;4;;;;2;3;1;;;;1;1;;2;;;6;2;;;;2;2;5;;1;;1;;;1;;34;3;10;2;1;;8;8;2;;2;2;;8;;2;8;4;2;1;;;;3;;;;;16;4;7;2;1;;;6;6;3;2;;;7;2;7;4;39;4;20;8;3;1;1;5;8;5;;22;8;5;2;6;3;10;4;2;6;3;2;2;1;;;3;2;2;3;
36189-5490;2;4;;2;;2;;;24;;;5;3;;32;1;1;1;2;;;1;1;1;;;;;;;2;1;1;1;;;2;;;;2;2;;1;;;;;1;1;1;;;1;;;;;;;;;10;1;4;1;;;;;;;;;;;;;3;;1;;;;;1;;;;;2;;1;1;;;;;;;;;;3;;;;8;;4;1;1;;;;;;;1;;;;;;;;;;;;;;1;1;1;;;;
21169-6402;1;7;;;;1;;;26;;;3;7;1;43;7;18;1;1;1;;;1;1;1;1;1;1;;;2;;;;;;;;;;;;;3;;;;;1;;;2;1;1;;;;;;;;;12;;2;;;;1;1;;;;;;1;;;;;;;;;;;1;2;;1;3;1;;;;;;;;2;;;;;;2;1;13;2;3;2;1;1;1;2;3;3;2;6;3;;;2;1;5;1;;1;;;;;;;1;;;;
31077-4434;2;17;;2;6;6;;;64;;;6;13;;36;8;8;;2;1;2;1;1;1;1;1;1;5;1;;2;1;1;1;;;2;2;1;1;2;2;1;11;2;;;;2;1;1;3;1;6;;1;;;;;2;;18;;5;4;1;;2;1;1;;2;;;1;;1;4;;3;2;1;1;1;;;;;;6;1;4;3;2;;;3;3;4;;;;3;1;4;1;11;1;8;5;4;3;2;4;7;7;1;7;2;;;6;3;3;3;2;;;;;;1;1;1;;1;1;
40270-6401;3;45;1;3;30;7;;;107;2;;15;20;1;50;7;18;1;3;5;1;3;1;1;1;1;1;1;6;1;1;2;2;2;;1;2;13;3;2;2;2;1;33;1;4;;;3;;;9;3;8;;1;;;;;2;;22;1;8;2;1;1;1;1;;1;;2;;3;;;7;2;2;1;;1;1;1;1;;;;10;1;5;1;;;;2;1;1;3;1;1;1;;3;3;11;;3;1;1;1;;;2;2;1;7;3;2;2;4;2;4;3;2;2;2;2;2;1;3;3;1;;;;
41281-6401;3;13;;9;;9;;;125;12;11;84;93;4;30;16;19;;3;43;12;1;2;2;1;1;1;;2;;;1;1;1;;;8;;;;7;7;;4;;;;;5;3;3;4;;53;3;39;;6;5;7;4;1;13;1;5;3;2;2;7;5;1;;9;12;10;10;4;1;23;1;10;5;2;19;9;2;21;15;5;4;55;3;15;9;5;11;7;8;2;;11;3;2;1;;7;4;16;5;6;5;4;4;2;3;5;5;2;14;3;2;1;4;1;6;2;1;2;1;1;1;1;1;1;2;7;9;3;
39383-6401;2;14;1;4;;9;;;35;;1;38;18;1;35;7;8;;2;;;2;;;;;;;;;1;2;2;2;;;4;;;;4;4;;4;;;1;;2;1;1;2;1;4;;3;;3;2;;;;13;2;2;2;;;;;;;;;1;;;;30;;25;20;16;4;2;;;1;;;15;;13;10;8;1;;1;;1;;;;2;;3;2;9;;4;1;;;;;3;2;1;6;3;2;1;2;1;3;1;;2;;1;;1;2;2;;;;;
31743-6030;3;6;2;1;3;3;;;16;1;;2;4;;5;;;;3;2;;1;2;2;2;2;2;1;2;;;1;1;1;1;1;;;;;1;;;3;1;;;;;;;;;4;;2;;1;1;;1;;2;;;;;;;;;;;1;;;;;1;;1;1;;;;;;1;1;;2;;1;1;1;;;1;;1;;;;;;;;3;;1;1;1;1;1;;;;;;;;;;;;;;;;;;;1;1;2;1;;;
27738-4433;2;26;;8;;8;;;48;1;;18;31;;92;15;37;;2;8;;1;1;1;1;1;1;8;6;;3;1;1;1;;;5;;;;6;5;;9;3;2;;;;;;3;1;7;;1;;1;1;;2;;17;;7;3;2;1;2;1;1;;;1;;1;;1;4;;4;2;2;4;;2;3;;;;14;;3;3;2;4;;8;5;7;3;;;3;;7;2;40;4;17;11;7;3;3;3;5;3;1;10;2;1;;5;1;10;1;;3;1;2;;1;1;1;1;;;;
30799-5384;2;19;;1;20;8;;;74;4;2;33;39;;70;16;30;;2;;;1;;;;;;;6;1;1;1;1;;;;1;5;1;1;1;1;2;12;;4;;;7;;;4;1;20;;18;11;7;4;;;;25;1;12;1;;;6;4;3;;;4;2;22;8;8;12;8;9;4;2;3;1;2;;4;1;2;31;14;12;9;4;1;;2;1;2;;;;4;1;6;1;27;5;6;2;2;1;;2;2;2;1;14;7;4;4;3;3;9;3;3;6;3;5;3;3;2;1;;;;;
31863-4448;5;20;;2;3;4;;;72;1;1;14;15;;64;5;9;;5;5;;1;3;3;2;2;1;;3;;;;;;;;1;;;;2;1;1;8;;;;;2;1;1;;;3;;3;;1;1;1;;;17;;5;;;;1;1;1;;;;1;2;;1;5;;1;1;;3;3;1;2;6;;2;7;1;3;1;1;2;2;1;;1;1;;;1;2;5;1;20;4;1;1;1;1;;1;1;1;;5;2;2;;2;1;3;2;1;3;2;;;;2;1;3;1;;;
31331-4434;2;5;;;;;;;14;;;1;3;;22;4;9;;2;;;1;1;1;1;1;1;1;;;;1;1;1;;;;;;;;;;4;1;;;;;;;1;;1;;;;;;;;;6;;3;2;1;;2;2;2;;;;;;;;1;;;;;1;;;;;;;1;;1;;;;;;;1;;;;;;;;9;;4;2;;;;;;;;4;2;1;;2;1;5;1;;2;;1;;;1;1;1;;;;
40755-7114;2;22;;1;41;7;;;38;1;;7;10;;27;7;7;;2;2;;;2;2;1;1;1;;2;;1;;;;;;1;22;12;8;1;1;3;10;;2;;;3;;;5;2;2;;2;;;;;;;12;1;3;1;1;1;3;3;2;1;;1;;;;;1;;;;;;;4;;2;;1;7;;1;;;;;;;;;;;2;;2;1;7;1;4;1;1;;;;2;1;;6;2;2;2;2;1;3;1;1;3;1;2;1;2;;;2;;;;
30904-4603;3;6;2;2;;2;;;48;1;;12;13;;35;8;12;1;3;;;2;1;1;1;1;1;;4;2;;2;2;2;1;2;2;;;;2;2;;4;;2;1;;1;1;1;1;;3;;3;2;;;1;;;18;1;5;3;2;1;3;2;1;;;1;;5;1;1;;;;;;4;4;;;;;;11;4;;;;4;4;1;;;;;;1;;1;1;9;;5;2;1;1;;1;1;1;;6;3;1;;3;1;3;;;1;;;;;2;2;1;;;;
44965-7297;1;12;1;2;2;3;;;35;2;2;15;21;;28;4;3;;1;1;;;1;1;1;1;1;3;2;1;4;;;;;1;1;;;;2;1;1;7;1;1;;;1;;;;;11;1;5;1;1;;1;1;;12;3;1;1;;;;;;;;2;2;4;;;4;1;1;1;1;2;1;;;3;;2;12;2;3;1;1;1;1;1;1;3;1;;;5;2;3;;4;1;2;;;;;1;4;1;;2;;;;;;;;;;;;;;;;1;1;;;
35966-5384;2;30;1;;;;;1;118;7;7;73;62;;30;6;7;;2;8;4;1;1;1;;;;2;9;1;;1;1;1;1;;;;;;;;;23;2;5;;;;;;6;;42;;36;6;11;4;4;1;;16;;7;3;1;1;2;2;1;;2;7;7;22;4;5;29;6;16;6;4;8;8;2;5;4;;;47;9;18;10;3;4;4;2;1;2;;;;1;1;2;1;13;;6;4;2;1;;1;3;1;1;4;2;2;;;;2;;;2;;;;;1;1;1;;3;4;
41322-6400;2;4;;1;;1;;;53;;;5;6;;61;13;27;;2;1;3;;2;2;1;1;1;;2;;;;;;;;1;;;;1;1;;4;;;;;1;1;1;2;;;;;;;;;;;13;;3;2;;;4;2;1;;1;;;;;;;;;;;;;1;;;;;3;;;;;;;;;2;;;;;;1;1;14;;6;2;;;;1;1;1;1;8;2;2;;3;2;3;;;2;;;;;;;2;;;;
35718-5384;2;24;;3;18;4;;;98;4;7;25;40;;51;13;14;;2;6;1;1;1;1;;;;2;3;;1;;;;;;3;9;6;4;1;1;3;12;1;;;;2;1;1;4;;22;1;10;;2;1;;5;;17;;8;6;5;5;3;2;1;1;1;4;7;3;;;9;1;2;;;2;2;1;1;2;;1;23;1;7;2;;;;8;4;2;1;;;2;;3;1;23;2;14;9;7;3;3;2;5;3;1;9;5;4;3;3;1;8;2;1;6;1;5;1;4;1;1;1;2;;1;
31830-4435;4;26;2;5;70;11;3;;66;;;18;21;;12;1;1;;4;9;;;4;4;2;2;2;5;3;;1;;;;;;5;23;10;3;2;2;7;18;2;1;1;;6;2;2;1;;8;;4;;3;1;;1;;4;;3;1;;;;;;;;;;1;;1;5;;2;;;4;2;3;;2;;1;10;1;4;2;;1;;7;3;2;1;;;;;5;2;7;4;4;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;;4;;;;
31816-5384;2;25;9;6;18;14;8;;101;3;;13;31;12;65;10;10;2;2;;2;1;1;;;;;;5;;1;1;1;1;2;3;5;5;2;2;4;3;2;17;;2;3;1;1;;;8;3;9;1;3;1;1;;;3;9;31;2;13;5;3;1;2;2;1;;2;3;;5;;3;4;2;1;1;1;1;1;3;;10;2;5;13;3;4;1;1;;;4;2;3;;2;1;3;5;12;3;35;8;22;11;6;5;3;2;6;5;3;8;6;5;5;5;1;8;4;1;6;3;6;3;4;1;1;;;;2;
31658-4435;;15;;10;79;16;3;;60;1;;17;21;5;8;3;4;2;;3;;;;;;;;3;;;;;;;;;9;28;8;2;6;6;6;10;3;;;;10;2;2;11;3;10;2;7;1;4;;;1;;6;;4;;;;1;1;;;;1;;2;1;;10;2;1;1;1;6;6;;1;3;2;1;16;1;10;1;1;5;5;4;4;;;5;3;;;1;;5;;;;;;;;1;;;3;3;2;1;1;1;3;1;;2;1;1;1;;;;;;;;
31858-4434;2;16;3;;;4;2;;63;5;7;36;39;3;60;10;16;;2;4;3;;;;;;;2;1;;4;;;;;1;;;;;;;;10;2;;3;;1;;;3;1;17;;10;2;3;2;2;4;1;18;;6;4;2;1;2;2;;1;1;4;7;10;2;3;10;;3;3;1;7;4;2;;4;2;;27;7;10;3;3;5;3;6;3;3;;2;2;1;;2;2;16;2;7;4;2;2;2;1;3;3;2;9;2;;;3;2;5;1;1;1;;;;;2;;;;3;2;
28250-4917;4;11;;3;;2;;9;61;3;3;11;31;;49;2;5;;4;14;;2;2;2;1;1;1;;2;1;;1;1;1;;;1;;;;1;1;;5;;;;;;;;2;;13;;4;1;;;1;5;;20;;7;3;2;1;;;;3;;2;3;3;;1;1;;;;;2;;;3;5;1;3;9;2;1;;;1;;9;;1;2;;;1;1;7;3;13;1;5;2;1;1;1;;;;;2;1;1;1;1;;1;1;;1;1;1;1;;2;2;2;1;;;
36041-5490;2;4;2;2;9;7;;;41;;;6;4;3;36;6;7;1;2;;1;;2;2;2;2;2;;1;1;1;;;;;2;2;;;;2;2;4;3;;;2;;2;1;1;2;2;;;;;;;;;1;15;;4;3;3;2;1;1;;;;;;;;;2;;2;1;1;1;1;;;;;;4;;1;1;;1;1;;;;;3;3;1;4;;;7;;4;4;3;3;1;1;3;2;1;5;3;2;2;1;1;4;1;1;2;;2;;1;;;2;;;;
36383-6401;2;12;9;5;13;7;4;;36;;;15;13;8;3;2;2;;2;1;1;2;;;;;;1;3;;;2;2;2;5;3;5;3;1;1;4;4;2;6;;1;7;4;4;2;1;6;;1;;1;;;;;;4;3;;2;1;1;1;;;;;;;;2;;;4;;1;;;8;5;;;1;;;13;2;3;1;;7;4;;;;1;8;8;;;1;1;2;1;1;1;1;1;1;1;1;1;1;2;2;;;1;;2;1;;;;;;;2;2;;;;;
30777-4433;2;22;1;;;;;;33;1;;6;10;;35;5;12;1;2;;1;;2;2;1;1;1;3;3;1;2;;;;;1;;;;;;;;10;1;2;;;;;;2;;3;;1;1;;;;1;;14;1;7;2;2;;2;2;1;;1;1;;2;;1;;;;;;1;1;1;;;;;6;2;;;;;;1;1;1;;;;3;1;2;1;15;1;6;4;2;2;2;1;2;2;;5;2;1;1;2;1;4;;;2;;1;;1;;;2;;;;
23467-4433;2;18;;1;;2;;1;25;;;6;6;;19;2;;;2;3;;1;1;1;;;;1;2;;1;;;;;;;;;;1;;;8;;;;;1;1;;;;1;;1;;;;;;;9;3;1;;;;;;;;;;;1;;1;2;1;1;;;1;1;2;;;;;5;;2;1;;1;;1;1;1;1;;;5;;3;2;7;2;2;1;;;;;2;;;;;;;;;;;;;;;;;1;1;1;;;;
31735-4434;5;16;2;;;;;;48;2;2;8;10;;32;15;23;5;5;;;3;2;2;2;2;2;;5;1;;2;2;2;;;;;;;;;;11;;3;1;;;;;2;1;5;;3;1;1;;;;;18;;6;5;1;1;7;7;6;;;2;2;2;;;2;;;;;;;2;;2;;1;6;1;2;;;;;;;1;;;;2;;;;10;;6;2;1;1;1;1;4;4;4;15;13;3;3;8;1;22;5;1;5;1;5;;3;3;3;2;;;;
31520-5489;2;5;;;;;;;26;1;;1;4;;16;3;2;;2;;;2;;;;;;;2;;;2;2;2;;;;;;;;;;1;;1;;;;;;2;;1;;;;;;;;;10;2;3;2;1;;1;1;1;;;1;;;;;;;;;;1;;;;2;;2;;;;;;;;1;;;;;;3;;;;5;;2;1;;;;1;1;;;1;1;1;1;2;;2;2;;2;2;1;1;;2;2;;;;;
27352-6401;3;11;;;6;2;;;22;;;;;;19;1;;;3;;;1;2;2;1;1;1;;;;;2;2;1;;;;;;;;;1;5;;;;;1;;;1;;;;;;;;;;;4;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;4;;1;;;;;;1;;;;;;;;;;;;;;;;;2;1;2;;;;
30705-5799;3;9;1;1;;1;;1;39;;;1;5;;31;2;;;3;4;2;1;2;1;1;1;1;;2;1;;;;;1;;1;;;;1;1;;5;;1;;;;;;8;5;2;;;;;;;;;16;1;1;;;;;;;1;2;;;;;;;;;;;;;;;1;;;;;;;;;;1;;1;1;;;1;1;1;;7;;2;2;2;1;1;;1;;;;;;;;;;;;;;;;;1;1;1;1;2;1;
