aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>3>;2>14>;2>14>2>;2>14>41>;2>41>;2>46>;2>46>1>;2>46>1>2>;3>2>;3>14>;5>5>;6>6>;6>6>6>;7>5>;7>5>5>;7>6>;7>14>;8>7>;14>2>;14>2>2>;14>2>14>;14>3>;14>3>2>;14>7>;14>7>5>;14>8>;14>14>;14>14>2>;14>14>14>;14>14>41>;14>31>;14>31>14>;14>31>30>;14>31>30>30>;14>32>;14>32>31>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>41>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;16>31>;30>14>;30>14>41>;30>30>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>41>;30>48>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;32>14>;32>31>;32>31>30>;41>2>;41>14>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>14>;44>14>41>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>44>;45>43>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>48>;49>48>;49>49>;
31410-4603;2;5;;1;;1;;29;1;;2;3;;27;;1;1;;2;1;;2;;;;;;;;1;;1;;2;2;2;;;1;;;1;1;;;;1;;;;;;;;1;;;;1;;;;;;7;;1;;;;;;;;;;1;2;;;;;;;;;1;;;2;2;;;;;;;;;;;;1;1;2;2;9;;1;4;1;;;;;;;;;;1;;;;;;;;;;;;;;;;2;2;;1;;1;;;
27781-4434;1;6;;;;;;11;;;;1;;14;;3;6;;1;;;;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;3;;;;;;;;1;1;;;;;;;;;5;;3;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;6;;;2;1;;;;;;;;;;3;;;;;;1;;1;1;;;;;;;;;1;;;;;;
33680-4434;;5;;1;;3;;26;;;4;5;;11;;2;3;1;;3;3;;;;;;;;;;;;;;;;;;1;;;1;1;;1;;;;;;;2;1;;1;;;;1;1;1;;;;4;;4;1;1;;;;;;;3;;2;1;1;1;1;;;;1;1;1;;3;2;;;;;;;1;;;;;2;;1;;4;1;1;1;1;;;;;;;;;;2;;1;;;;1;1;2;1;1;;;;;;;;;;;1;1;1;
36352-5489;;3;;;;2;;17;;;1;3;;27;;2;4;;;1;;;;;;;;1;;;;;2;;;;;;;;;;;;;;;;;;;1;;;1;;;1;;;;;;;7;;2;;;;;1;1;;;;;;;1;;;;;;;;;;;;;;;;1;;2;1;;;;2;;2;;11;1;1;6;4;2;1;;;;;;;;2;;1;;;;;;2;;;;;;;;;;;;;1;;;
36694-5489;;;;;;;;5;;;1;2;;5;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;3;1;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;1;;1;;;;;;;2;1;5;;1;2;1;;;;;;;;;;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;
40067-7114;2;11;;;;1;;20;;;1;1;;26;;4;9;;2;;;;2;2;1;1;1;1;;3;1;1;2;;;;;;;;;;;;;;4;;2;;;;;;1;1;;;;;;;;;7;;1;;;;;1;1;1;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;2;1;;;5;1;;2;;;;;;;;1;1;1;4;;4;3;2;1;1;1;9;1;1;4;1;3;2;;;;2;;;;;;
28146-4435;1;5;;;;;;13;;;;;;13;;2;6;;1;;;1;;;;;;;;;;;;1;1;1;;;;;;;;;;;1;;;;;;;;1;1;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;1;;1;;;;;;;;2;1;;1;;;;;;;;1;;;1;;1;;;1;1;;;;;;;
30492-5384;2;7;;;11;5;1;23;;;3;3;;10;;;;;2;;;1;;;;;;;;1;;;;2;2;1;;;;3;1;;;1;;1;2;;;;;2;;1;1;;;;1;;1;1;;;4;;1;;;;;;;;;;;;;2;2;1;;;;;;;;3;;2;2;;;;;;;;;;1;1;1;1;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;
30988-4603;2;4;;1;;1;;30;;1;;6;;32;;6;8;;2;2;;1;1;1;1;1;1;;;2;;;;1;1;1;;;1;;;1;1;;;;;;;;;1;1;;1;;;;4;;;;;;15;1;7;4;1;1;;3;3;3;1;;;;;;;;;;;;1;1;;;;;;;;;;4;1;;;;1;1;3;;10;;1;6;1;1;;;;;;1;1;1;6;2;6;4;3;1;4;1;8;3;1;5;1;4;2;;1;1;1;;1;;;;
31566-5061;;;;;;;;4;;;;;;6;;2;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;2;2;2;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;3;3;2;1;1;;;;;;;2;;2;2;2;2;2;1;4;2;1;2;2;2;2;;;;;;;;;;
28164-5799;1;6;1;3;10;5;;55;3;;18;45;1;32;;1;3;;1;5;;;1;1;1;1;1;;1;1;;;2;;;;1;;3;8;6;3;3;1;;;3;;;;;;;;1;;;;33;;11;;;;5;1;1;;;;;;;;1;;3;;;;;;2;;4;2;1;;;17;;;;2;;6;3;6;;;;;;;3;1;8;;1;2;1;;;;;;;;;;1;;;;;;1;1;;;;;;;;;;;1;;;1;;;
31410-5384;3;14;;;;1;;39;1;;11;14;;23;;5;8;;3;;;1;2;2;2;2;2;;;10;2;1;;;;;;;;;;;;;1;;10;;6;;;1;;;1;1;;;7;1;6;3;;;11;1;1;;;;;2;2;1;;;1;6;2;4;1;;;;;;2;1;;10;4;3;1;;;;;;;;;;1;;2;2;6;;1;2;1;1;;;;1;1;2;2;;5;2;2;;;;3;2;3;1;;;;;;;1;1;2;;;;;;
31508-4435;1;9;;;;;;14;;;10;7;;9;;;;;1;6;;;;;;;;3;;1;;;2;1;1;;;;;;;;;;;;1;1;;;;;;;1;;;;2;;1;1;;;2;;1;;;;;;;;1;;;;;3;1;;;;1;1;;;;6;;3;1;;;;;1;;;;;1;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;4;;;;;
28391-5489;;;;;;;;3;;;1;1;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;1;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31733-6030;;;;;3;7;1;14;1;;7;6;1;10;;2;4;;;3;1;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;3;;;2;;;;3;;2;;;;2;;1;;;;;;;;1;1;1;3;;;;;;;;;;;;3;2;;;;;;;;;1;;;;;;;2;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;2;;;;;
22957-6590;2;6;;;;;;16;1;;8;7;;10;;;;;2;1;;2;;;;;;1;;3;;1;;2;2;2;;;;;;;;;;;2;;;;;;;;;;;;2;;2;1;;;2;;1;;;;;;;;;;1;;;3;2;2;1;;2;;;;;6;;2;1;;;2;1;;1;;;;2;;1;;4;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;;
21955-4603;1;2;;2;4;3;;29;1;1;6;10;1;27;;5;9;1;1;5;3;1;;;;;;;;2;;1;;1;1;1;;;2;2;1;1;1;1;;;2;;1;;;2;1;;;;;;4;1;4;;;;8;;1;1;;;;2;2;2;;1;1;1;;;;;2;2;;;3;1;1;6;1;;;2;2;1;;;4;1;;;;;1;;4;;1;2;;;;;;;;;;;4;3;2;1;1;1;3;;2;2;;1;1;1;1;1;1;1;;3;;;1;1;
31853-4603;;1;1;1;3;2;1;25;1;5;1;7;;24;;2;7;;;5;2;;;;;;;;;1;;1;;;;;;;1;3;2;1;1;1;1;1;;;;1;;2;1;;2;;;1;2;;;;;;5;;;;;;;;;;1;;1;1;;;;;;;;;;;;;;;;;;;;;3;;;;;1;2;;5;;1;2;1;1;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;1;5;;;;
27889-4434;2;14;2;;;6;1;30;;1;;;;16;;2;2;;2;1;;1;1;;1;1;;;1;3;;1;;1;1;1;1;1;;;;;;;;1;9;;2;;;4;;;4;1;;1;;;;;;;6;;1;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;2;;2;1;;;1;;2;1;;1;1;;;;1;1;;;1;;;;
28101-7297;2;5;;3;1;3;;18;1;;1;4;;18;;1;2;;2;;;2;;;;;;1;;3;1;;1;1;1;1;;;2;;;2;2;1;;;4;1;;;;1;1;;2;;;2;1;;;;;;7;;2;;;;;;;;;;1;;;;;;;;1;;1;;;1;;;;;;;;1;;;;;1;1;1;;5;;1;2;1;1;;;;;;;;;1;;1;1;1;;1;;1;;;1;;1;;;2;2;;;;;;;
31271-4434;2;10;1;1;;1;;28;1;1;9;13;;36;;6;12;;2;1;1;;2;2;1;1;1;1;;1;;;;;;;;;;;;1;;;;;5;1;;;;;;;1;1;;;4;;2;1;;;2;;;;;;;2;2;2;;;1;;;6;2;1;1;;2;;;;;5;;3;1;;;;;3;;;;;;;2;;8;;1;2;1;;;;;;;;;;6;;2;2;1;1;2;;2;2;;2;1;1;1;;;;2;1;1;1;;;
35699-5489;;2;;;;;;25;1;;1;2;;15;;3;6;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;1;;;;1;;1;;;;7;;2;;;;;1;1;;;;1;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;2;;;;;;;;;1;1;1;1;;2;;;;;;;;;;;;;;;;;;;;;;;;
44176-7114;2;11;;2;6;3;;38;;;2;8;;49;;16;16;1;2;;;;2;2;2;2;2;1;;3;;;2;;;;;;2;1;;2;2;1;;;1;;;;;;;;1;;;;4;;2;;;;13;;4;2;1;;;3;2;2;;;;;;;;;;;1;;;;;2;;;;;;2;;2;;;;;4;;2;;22;4;1;12;5;3;2;1;1;1;;2;1;1;11;1;6;3;2;2;6;3;10;6;3;4;2;2;2;1;;;2;;;;;;
35491-5490;2;6;1;3;;3;1;36;1;;10;10;;41;;3;3;;2;;;;2;2;2;2;2;;;3;;2;;;;;1;;3;;;2;2;;1;1;1;;;;;;;1;3;;;1;1;;1;;;;12;;3;;;;;;;;;;1;1;;1;1;1;1;;;;;;;6;;1;1;1;;1;;1;;;;;2;1;3;1;16;;2;5;3;1;1;1;1;1;1;1;1;1;3;;3;2;1;1;1;;3;1;;2;1;1;1;;;;2;;;;;;
27760-6895;2;5;6;;;;;18;1;;1;5;2;10;;;;;2;1;;;1;;1;1;;1;;3;1;;;1;1;;1;4;;;;;;;;;3;1;1;4;1;;;;8;1;1;2;3;;;;2;;7;;5;4;4;4;4;;;;;;1;1;;;;;;;;;2;1;;1;1;;;;;4;1;1;;1;;;1;;1;;5;;1;4;4;4;4;3;3;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;
32377-4433;;1;;;;;;1;;;;;;3;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41425-6895;2;6;5;;;;;16;;;;1;;28;1;3;3;2;2;1;;1;1;1;;;;;;3;;1;1;1;1;1;2;1;;;;;;;;;3;;;2;1;;;;3;1;;;;;;;;;5;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;4;2;1;1;;;1;1;2;2;1;3;2;1;1;1;1;2;1;1;;;1;;1;1;2;1;1;1;1;;;;;
32035-5384;3;16;5;;16;4;;30;1;;3;3;;5;;;;1;3;1;;2;1;1;1;1;1;3;;3;1;1;1;;;;2;;;6;1;;;2;;;7;2;;4;2;3;;;5;1;;;2;;2;;;;5;;3;3;2;2;2;;;;;;1;1;;;;;;;;;;;;3;1;;;;;;;;;;;;2;;;;4;1;;4;3;3;3;3;2;;;;;;;;;;;;;;;;;;;;;;2;2;1;;;;;;
35908-5799;2;2;;;;;;9;;;;1;;6;;;;;2;3;;1;1;;;;;;;;;;;1;1;1;;;;;;;;;;;1;;;;;;;;;;;;1;1;;;;;6;;3;1;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;2;;;3;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;2;;2;;;
31673-4434;2;9;3;2;12;4;;31;;;3;8;;55;;9;14;;2;1;;;2;2;;;;2;2;;;;2;;;;3;;2;3;1;1;1;2;;;2;1;;;;3;;;2;;;1;2;;;;;;12;1;4;2;1;1;1;2;2;1;;;;;;2;;;;;;1;;;;2;;1;;;;1;;4;;;;;;1;3;1;21;;2;6;4;2;1;;;2;;3;1;1;8;1;4;3;3;3;1;1;5;1;1;3;1;3;3;;;;2;;;;;;
41128-6030;1;10;1;;;8;1;49;;4;10;11;1;36;2;14;19;3;1;7;1;1;;;;;;;;3;;1;;1;1;1;;1;;;;;;;1;1;4;;2;1;;2;;;5;1;;2;4;;1;;;;13;1;5;3;2;1;1;3;2;1;1;;;1;1;1;;;1;;;;1;;;4;1;1;;;;2;1;2;1;1;;;4;1;2;1;16;1;1;6;5;4;3;2;2;1;;4;2;1;10;2;6;4;2;1;6;3;9;1;;6;;3;2;3;1;1;;1;4;;;1;
32029-4434;2;14;;;;;;34;1;;1;4;;13;;4;2;1;2;;;1;1;1;;;;1;;3;;2;;1;1;1;;;;;;;;;;;8;1;1;;;;;;3;1;;1;2;;1;;;;7;;5;2;2;1;1;2;1;1;;;1;;;;;;1;1;;;1;;;1;;;;1;1;1;;;;;;;;;;;6;;;2;2;1;1;1;1;;;;;;1;;1;1;1;;1;1;2;1;1;2;1;1;;;2;1;1;;;;;;
13346-4434;;3;;2;;3;;12;1;;2;5;;5;;1;2;;;1;;;;;;;;1;;2;;1;;;;;;;;;;1;;;1;;2;1;1;;;1;1;;;;;;2;;;;;;3;;3;2;2;2;2;;;;;;1;1;;1;1;1;;;;1;1;;1;2;;1;1;;;2;1;1;;;;;1;;2;;5;1;2;3;2;2;2;1;1;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;
35751-5490;;;;;;;;6;1;;6;6;;2;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;4;1;;;;;;;;;;;;;;;1;;;3;2;;;;1;3;1;1;;6;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36194-5489;;1;;;7;1;1;24;;;3;3;;27;2;6;4;2;;1;;;;;;;;;;;;;1;;;;;;;2;;;;1;;1;;;;;;;;1;;;;;1;;1;1;;;8;;2;;;;;;;;1;;;;;2;1;;;;2;;;;;3;;2;1;;;;;;;;;;1;;1;1;8;;;3;1;1;1;1;1;1;;3;1;;3;;1;;;;;;2;;;1;;1;1;1;;;;;;;;;
36430-5489;;2;;;;;;9;;;2;3;;5;;;;;;1;;;;;;;;1;;;;;1;;;;;;;;;;;;;;1;1;;;;;;;1;;;;;;;;;;3;;3;2;;;;;;;;;;;;2;1;;1;;;;;;;2;;2;1;;;;;1;1;;;;1;;1;1;3;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36589-6895;;1;1;;;1;;9;;2;2;4;;16;;5;7;;;3;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;1;1;1;;;;;;;1;;;;;;4;;2;;;;;1;1;;;;;;;1;1;;;;2;1;;;;1;;;;;;2;1;;3;;;;;;1;;4;;1;2;2;1;1;1;1;1;1;1;1;;5;1;2;1;;;3;1;3;2;1;1;;;;;;;;;2;1;;;
24082-4114;2;11;5;;10;3;4;20;;;2;2;;27;;;;;2;1;3;2;;;;;;1;1;1;;1;3;2;2;2;1;1;;4;;;;1;;3;4;;;1;;;;2;;;;;1;;1;1;;;8;;4;4;2;;;;;;;;;;;1;;;;;1;;;;;1;;1;;;;;;1;;;;;3;1;;;9;1;;7;5;3;3;3;2;;;;;;;;;;;;;;;;;;;;;;2;2;;1;;;;3;
21283-6895;1;4;;;;1;;27;2;;3;7;1;32;;;;;1;;;1;;;;;;;;1;;1;;1;1;1;;;;;;;;;;;1;;;;;;;;1;1;;;1;;;;;;13;1;4;1;1;;;;;;;;2;1;1;;;;2;1;;;3;1;;3;1;;;2;;;;1;;1;;;3;;1;;5;2;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;
22483-6030;2;11;7;;1;1;;11;;;1;1;1;2;;;;;3;1;;1;1;1;1;1;1;1;1;3;1;;2;1;1;1;7;;;;;;;1;;;4;1;;3;3;1;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;;1;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;;
31572-5384;1;9;1;;;;;26;;2;;1;;9;;3;9;;1;4;;;1;;;;;1;;;;;;;;;;;;;;;;;;;6;1;;;;;;;3;1;;;;;;;;;2;;1;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;3;;;;;;;;;;;;;;3;;1;;;;;;1;;;;;;;;;;;;1;;;;
30588-5799;1;1;;;;;;10;;;;;;5;;5;9;;1;;;;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;;;;;;;5;;1;;;;;3;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;2;;;;;;;;;;;1;1;1;5;1;3;2;1;;1;1;5;1;1;3;1;1;;;;;1;;;;;;
18432-5799;1;5;1;;9;3;3;20;;;1;2;2;29;;12;16;1;1;1;;1;1;1;1;1;1;3;;1;;;;1;1;1;;1;;6;2;;;3;;2;2;1;;;;;;2;1;1;;;;;;;;;4;;1;;;;;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;;;;;;4;;;1;;;;;;;;3;2;;9;;2;1;1;;1;;3;;;2;;1;;;1;1;1;;;;;;
21380-4114;;1;;;;;;7;1;;1;3;;11;;2;9;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;4;;;;;;;;;;;;1;;;;;;;;;;1;1;;;;;;;;1;;1;1;;;;;;1;;1;;;1;;;;;;;;;;;2;;;;;;2;2;1;1;1;1;1;;;;;;;;;1;;;
31805-5489;2;6;1;;22;6;;43;1;;;4;;37;;4;2;;2;1;;1;1;1;1;1;1;;1;3;;3;1;1;1;1;1;1;;6;;;;4;;;3;;;;;5;;;12;;1;6;1;;;;;;18;;9;8;6;4;3;2;;;;;1;;;;;;;;;;3;;1;;;;;;;1;;;1;;;;2;;3;;16;1;3;11;9;5;4;4;3;;;3;2;1;2;1;1;1;1;1;2;;1;1;;1;1;1;1;;1;1;1;;;;;;
37574-5489;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28101-4434;1;4;;;;;;13;;;;1;;6;;;;;1;;;;1;1;1;1;1;1;;3;1;1;;;;;;;;;;;;;;;2;1;1;;;;;;;;;;;;;;;;5;;3;2;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;3;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
31444-5061;3;23;;1;9;4;;77;9;;10;23;;73;;23;35;;4;1;1;2;;;;;;6;;1;;;1;3;3;2;;;1;2;;1;1;1;;;11;4;;;;1;;;4;1;;;7;;4;3;;;21;1;6;1;1;;;3;3;;;;9;1;1;6;5;5;;;3;;8;2;1;10;1;6;5;;;;;1;;;;;2;1;2;1;29;;1;9;3;;;;;2;2;8;8;4;22;;10;4;1;;10;7;17;10;7;7;6;3;1;;3;2;;;;;1;;
30705-5489;2;3;;;4;2;;26;;;1;2;;18;;;;;2;;;;2;2;2;2;2;;;1;;;;;;;;;;;;;;1;;;2;;;;;1;;;1;;;1;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;1;;;4;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;
31469-6030;;11;;8;3;8;;36;1;;23;25;;40;;8;15;;;;2;;;;;;;2;;2;;;;;;;;;8;;;7;7;;;;4;;1;;;3;2;;;;;;8;;4;1;;;8;2;4;2;1;;;2;1;;;1;1;1;;9;7;4;1;1;4;;4;1;2;18;;7;5;1;1;3;3;2;;;;;;1;6;4;14;;4;8;4;1;1;1;;1;;1;;;5;;2;;;;3;1;7;2;;3;2;1;1;;;;;;;;;2;
35410-6895;;;;;2;8;;57;1;;2;13;;37;;3;4;;;1;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;3;;;6;;1;1;2;;;;;;13;2;4;3;2;2;2;;;;;;1;;;1;1;;;;1;;1;;;2;;1;1;;;3;;2;;;;;;1;2;2;12;;;5;3;3;3;2;1;2;2;3;3;1;3;;1;1;;;;;1;;;1;;;;;;;;;;;;;
35962-5384;2;16;2;;;;;40;;;3;7;1;19;;1;1;;2;;;1;1;;1;1;;;1;6;2;;;1;1;1;1;1;;;;;;;;;12;;4;2;1;;;;6;1;;4;4;2;1;;1;;13;1;3;;;;;;;;;;;1;1;;;;2;2;;;4;1;1;3;1;;;2;2;;;;;;;;2;;2;1;5;1;;1;1;;;;;;;1;1;;1;;;;;;;;;;;;;;;;1;1;;;;;;;
21513-5384;2;13;1;;;;;19;1;;3;4;1;9;;3;5;1;2;;;2;;;;;;1;;1;;;;1;1;1;1;;;;;;;;;;3;;;;;;;;;;;;2;;2;;1;;4;1;1;1;;;;1;1;1;;;1;;;;;;;;;;;;;2;;;;;;;;1;;;;;2;;1;;1;;;1;;;;;;;;;;;2;;2;1;1;;3;1;3;3;1;2;1;2;1;1;2;2;;;;;;;
31810-4917;2;5;9;;;;;8;;;;;1;6;;;;;2;;;;1;;1;1;;1;;;;;1;1;1;;5;;;;;;;;;;;;;5;2;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;
25326-4114;1;5;;;;4;;25;;2;1;3;2;24;;1;1;1;1;4;1;;1;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;1;;;2;;;1;1;1;;;2;1;11;;4;1;;;;;;;2;1;;;;;;;;;;;1;;;1;;;;;;;;;2;;1;1;;;1;;8;;1;4;2;;;;;;;1;1;1;1;;1;1;1;1;;;1;;;1;;1;1;1;;;;3;2;1;1;;
36278-5490;3;6;;;;1;;43;;;13;9;;43;;3;5;;3;;;1;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;2;;2;;;;14;;6;4;3;2;2;;;;;;;1;1;6;4;2;1;;1;;3;;2;7;;3;1;;;;;;;;;;3;;;;15;;;8;4;3;3;3;2;;;;;;2;;1;1;1;;1;;4;1;;4;1;3;;;1;1;2;;;;;;
36057-5384;3;13;;;;1;;22;1;;4;6;;19;;2;2;;3;2;;1;2;2;2;2;2;1;;3;;1;1;1;1;1;;;;;;;;;;;7;1;1;;;1;;;1;;;1;2;;1;;;;8;;1;;;;;1;;;;;1;2;;3;1;;;;1;;1;;;4;1;3;1;;;1;1;;;;;;3;;1;1;1;;;;;;;;;;;1;1;;1;;;;;;;;;;;;;;;;1;1;2;1;;1;;;
28386-5061;;6;1;;;;;10;;;1;2;;3;;1;1;;;;;;;;;;;;1;2;1;;1;;;;1;;;;;;;;;;4;;1;;;;;;;;;;1;;1;;;;3;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;1;;1;;;;;;;;;1;;1;1;;1;;1;1;;;1;1;1;1;1;1;1;;;;;;;;;;;;
31560-4435;2;10;1;4;5;7;;53;1;4;38;23;8;27;1;2;2;2;2;12;1;2;;;;;;;;2;1;;;2;2;2;;1;4;1;1;4;4;1;1;;8;;;;;4;2;;;;;;4;;2;1;4;3;7;;3;1;1;;;;;;3;;1;1;;14;9;3;2;1;1;2;1;1;;21;;7;3;1;;2;1;1;2;1;6;4;2;;4;3;6;;;2;1;;;;;;;;;;2;;2;1;1;1;2;;2;2;;1;1;1;1;1;2;2;;1;4;5;;;
33680-5799;;3;2;7;;5;;27;;;2;2;;11;;2;;;;;;;;;;;;;;2;;2;1;;;;2;;4;;;4;4;;;;1;;;2;2;3;3;;2;;;;1;;;;;;5;;;;;;;;;;;;;1;;;;;1;1;;;;;;1;1;;;;;;;;;;;;;1;;;3;;;2;1;1;1;1;1;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
28062-7114;1;16;2;;;2;;38;1;1;5;8;;20;1;;;;1;3;1;;1;1;1;1;1;1;1;6;3;1;;;;;1;1;;;;;;;;;12;1;4;1;1;;;;5;;;2;5;;3;;;;7;;4;2;1;;;;;;;;1;1;;;;;1;;;1;2;;;4;1;;;1;;2;;1;3;;;;4;;;;8;2;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;1;;;;
40989-7114;;1;;;;;;11;;;;;;5;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;;;;;;;4;;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;3;1;;2;1;;;;;1;1;2;1;1;1;;1;;;;1;1;1;1;1;;;;;;;;;;;;;;
21283-7297;2;12;;;;;;27;;;5;5;;36;;2;6;;2;;;;2;2;2;2;2;1;;5;2;2;4;;;;;;;;;;;;;;5;;2;;;;;;;;;;2;;1;1;;;16;;2;;;;;;;;;;;;;2;2;1;;;1;;;;;4;;2;2;;;1;1;1;;;;;6;;1;1;11;4;;1;1;;;;;;;;;;2;;;;;;;;1;;;1;;1;;;;;2;;;;;;
36259-5490;2;10;2;6;3;6;3;44;1;;12;14;3;60;;8;7;;2;;;;1;;;;;1;2;1;;;1;;;;2;;5;1;;4;4;1;2;1;2;;;;;3;1;1;6;;;3;3;;1;;1;1;16;1;3;1;1;1;;1;1;;;;1;3;;5;3;1;1;;1;;1;;;9;2;5;3;1;;1;;2;;;3;2;;1;1;;11;;;3;2;2;;;;1;1;5;4;1;5;1;1;1;1;;3;2;1;1;1;1;1;1;;;1;;;;;;;;
31595-4603;2;8;2;8;;6;;34;;;4;6;;28;;3;1;;2;1;4;;2;2;1;1;1;;;3;;1;2;;;;1;;6;;;6;6;;;;2;;;2;1;2;2;;1;;;;;;;;;;15;1;3;1;;;;;;;;3;;1;1;2;2;2;1;;;1;;;;4;1;2;2;;;1;1;;;;;;5;;2;2;9;1;1;4;2;1;;;;1;1;3;1;;1;;;;;;;;;;;;;;;;;;2;;;;;3;
