68;13405-5490;14 -2
69;13405-5490;41 -2
70;13405-5490;41 -2
71;13405-5490;31 -1 31 -1 14 -2
72;13405-5490;49 -1 48 -1 49 -2
73;13405-5490;14 -2
74;13405-5490;14 -1 31 -1 30 -2
75;13405-5490;14 -2
76;13405-5490;41 -1 14 -1 41 -1 41 -2
77;13405-5490;14 -1 41 -2
78;13405-5490;14 -2
79;13405-5490;41 -2
80;13405-5490;41 -2
81;13405-5490;14 -2
82;13405-5490;41 -1 41 -2
83;13405-5490;41 -1 41 -2
84;13405-5490;41 -2
85;13405-5490;43 -2
86;13405-5490;14 -2
87;13405-5490;14 -1 31 -1 30 -1 31 -1 30 -1 31 -1 30 -2
88;13405-5490;30 -1 30 -1 7 -1 5 -1 5 -2
89;13405-5490;31 -2
90;13405-5490;41 -1 14 -2
91;13405-5490;14 -2
92;13405-5490;14 -2
93;13405-5490;14 -2
94;13405-5490;41 -1 43 -1 14 -1 41 -1 41 -2
95;13405-5490;41 -2
96;13405-5490;14 -2
97;13405-5490;14 -1 41 -2
98;13405-5490;31 -1 30 -1 14 -1 31 -1 30 -2
99;13405-5490;14 -2
100;13405-5490;14 -2
101;13405-5490;14 -1 31 -1 30 -1 30 -1 30 -1 30 -2
102;13405-5490;30 -1 43 -1 44 -2
103;13405-5490;44 -2
104;13405-5490;44 -2
105;13405-5490;44 -1 44 -2
106;13405-5490;44 -1 44 -1 44 -1 44 -1 14 -1 7 -1 5 -1 5 -1 43 -1 44 -1 43 -1 44 -1 14 -1 43 -1 44 -2
107;13405-5490;6 -1 43 -1 44 -1 44 -2
108;13405-5490;6 -2
109;13405-5490;43 -1 6 -2
110;13405-5490;43 -1 44 -1 44 -1 44 -1 14 -1 43 -1 44 -2
111;13405-5490;44 -2
112;13405-5490;14 -1 31 -1 30 -1 30 -1 14 -1 43 -1 44 -1 43 -1 44 -2
113;13405-5490;6 -1 6 -1 6 -2
114;13405-5490;43 -1 44 -2
115;13405-5490;14 -2
116;13405-5490;14 -2
117;13405-5490;14 -1 41 -2
118;13405-5490;14 -2
119;13405-5490;14 -1 41 -2
120;13405-5490;41 -2
121;13405-5490;14 -1 41 -1 41 -2
122;13405-5490;41 -1 41 -1 41 -2
123;13405-5490;41 -2
124;13405-5490;14 -1 41 -2
125;13405-5490;41 -2
126;13405-5490;14 -1 41 -2
127;13405-5490;14 -2
128;13405-5490;31 -1 30 -1 30 -2
129;13405-5490;14 -2
130;13405-5490;7 -2
131;13405-5490;5 -1 5 -2
132;13405-5490;41 -2
133;13405-5490;2 -1 46 -1 1 -1 2 -1 14 -1 49 -1 7 -1 5 -1 5 -1 48 -1 48 -2
134;13405-5490;14 -1 2 -2
135;13405-5490;14 -1 41 -1 41 -1 41 -2
136;13405-5490;41 -2
137;13405-5490;41 -1 41 -1 41 -1 41 -2
138;13405-5490;41 -2
139;13405-5490;14 -1 41 -2
140;13405-5490;41 -1 41 -1 41 -2
141;13405-5490;14 -2
142;13405-5490;41 -2
143;13405-5490;41 -2
144;13405-5490;14 -1 41 -2
145;13405-5490;41 -2
146;13405-5490;14 -2
147;13405-5490;14 -2
148;13405-5490;31 -1 48 -2
149;13405-5490;41 -1 41 -1 41 -2
150;13405-5490;14 -1 41 -1 41 -1 41 -1 41 -1 41 -1 41 -1 41 -1 41 -1 41 -1 41 -1 41 -2
151;13405-5490;41 -1 41 -1 41 -1 41 -2
152;13405-5490;41 -1 41 -2
153;13405-5490;14 -2
154;13405-5490;14 -1 14 -1 14 -1 41 -2
155;13405-5490;14 -2
156;13405-5490;14 -2
157;13405-5490;41 -2
158;13405-5490;43 -1 44 -1 44 -1 44 -1 44 -1 44 -1 44 -1 43 -1 44 -1 14 -2
159;13405-5490;44 -2
160;13405-5490;44 -2
161;13405-5490;44 -1 44 -2
162;13405-5490;44 -1 41 -2
163;13405-5490;43 -1 44 -2
164;13405-5490;44 -2
165;13405-5490;44 -2
166;13405-5490;14 -1 41 -1 43 -1 44 -2
167;13405-5490;44 -2
168;13405-5490;14 -1 43 -1 44 -1 44 -1 44 -1 44 -2
169;13405-5490;44 -2
170;13405-5490;44 -2
171;13405-5490;44 -2
172;13405-5490;44 -2
173;13405-5490;14 -1 43 -1 44 -2
174;13405-5490;31 -1 30 -2
175;13405-5490;30 -1 31 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 31 -1 41 -2
176;13405-5490;41 -2
177;13405-5490;41 -1 41 -1 41 -2
178;13405-5490;14 -1 41 -1 41 -2
179;13405-5490;31 -1 30 -1 30 -1 14 -1 41 -2
180;13405-5490;41 -2
181;13405-5490;14 -1 30 -1 48 -2
182;13405-5490;30 -1 14 -1 14 -2
183;13405-5490;14 -1 49 -2
184;13405-5490;14 -1 31 -1 30 -1 30 -1 31 -2
185;13405-5490;49 -1 48 -2
186;13405-5490;14 -2
187;13405-5490;14 -1 14 -2
188;13405-5490;14 -1 49 -1 48 -2
189;13405-5490;49 -1 49 -2
190;13405-5490;31 -1 31 -1 31 -1 31 -2
191;13405-5490;14 -2
192;13405-5490;49 -1 49 -1 14 -2
193;13405-5490;14 -1 31 -2
194;13405-5490;14 -1 49 -1 48 -2
195;13405-5490;14 -1 49 -1 48 -2
196;13405-5490;41 -2
197;13405-5490;31 -1 30 -2
198;13405-5490;14 -1 41 -1 2 -2
199;13405-5490;14 -1 41 -2
200;13405-5490;41 -1 2 -1 2 -2
201;13405-5490;14 -2
202;13405-5490;14 -2
203;13405-5490;14 -2
204;13405-5490;14 -2
205;13405-5490;14 -1 41 -2
206;13405-5490;14 -2
207;13405-5490;41 -2
208;13405-5490;14 -1 41 -1 41 -2
209;13405-5490;41 -1 41 -2
421;1436-6400;14 -1 41 -2
422;1436-6400;41 -2
423;1436-6400;31 -2
424;1436-6400;14 -1 41 -2
425;1436-6400;41 -1 41 -2
426;1436-6400;31 -1 14 -1 31 -1 14 -1 41 -2
427;1436-6400;41 -2
428;1436-6400;43 -1 44 -1 14 -1 43 -1 44 -1 44 -1 44 -1 44 -1 14 -1 14 -1 41 -1 41 -2
429;1436-6400;31 -1 14 -2
430;1436-6400;30 -1 14 -1 30 -2
431;1436-6400;14 -1 7 -1 14 -2
432;1436-6400;14 -1 41 -2
433;1436-6400;14 -1 41 -2
434;1436-6400;14 -1 31 -1 14 -1 7 -1 14 -1 31 -1 14 -2
435;1436-6400;14 -1 41 -2
436;1436-6400;14 -1 2 -1 41 -2
437;1436-6400;43 -1 44 -1 44 -2
438;1436-6400;44 -1 44 -1 44 -2
439;1436-6400;44 -2
440;1436-6400;44 -2
441;1436-6400;14 -1 41 -1 41 -1 41 -2
442;1436-6400;41 -2
443;1436-6400;31 -1 14 -1 41 -2
444;1436-6400;41 -1 41 -2
445;1436-6400;14 -1 41 -2
446;1436-6400;43 -1 44 -1 44 -1 44 -1 44 -1 44 -2
447;1436-6400;14 -1 43 -1 44 -1 44 -1 14 -2
448;1436-6400;41 -2
449;1436-6400;7 -2
450;1436-6400;14 -1 43 -1 44 -2
451;1436-6400;14 -1 43 -1 44 -1 14 -1 43 -1 44 -1 44 -2
452;1436-6400;44 -2
453;1436-6400;44 -2
454;1436-6400;44 -2
455;1436-6400;44 -2
456;1436-6400;44 -2
457;1436-6400;14 -1 43 -1 44 -2
458;1436-6400;44 -2
459;1436-6400;44 -2
460;1436-6400;44 -2
461;1436-6400;44 -1 14 -1 41 -2
462;1436-6400;41 -2
463;1436-6400;41 -2
464;1436-6400;41 -2
465;1436-6400;14 -2
466;1436-6400;43 -2
467;1436-6400;44 -2
468;1436-6400;44 -2
469;1436-6400;44 -2
470;1436-6400;44 -1 44 -1 44 -1 14 -2
471;1436-6400;14 -1 41 -2
472;1436-6400;14 -1 14 -1 2 -1 14 -2
473;1436-6400;2 -2
474;1436-6400;14 -1 31 -1 30 -1 31 -1 30 -2
475;1436-6400;31 -1 30 -1 31 -1 30 -2
476;1436-6400;31 -1 30 -2
477;1436-6400;31 -1 30 -1 31 -1 14 -1 41 -2
478;1436-6400;48 -1 14 -2
479;1436-6400;14 -2
480;1436-6400;41 -1 14 -1 48 -1 14 -1 32 -1 31 -1 30 -1 14 -1 32 -1 31 -1 30 -1 31 -1 30 -2
481;1436-6400;14 -1 32 -1 31 -1 30 -2
482;1436-6400;14 -1 41 -1 32 -1 31 -1 30 -2
483;1436-6400;31 -1 30 -2
484;1436-6400;14 -1 2 -1 1 -1 46 -1 2 -1 14 -2
485;1436-6400;14 -1 2 -1 14 -1 41 -1 41 -2
486;1436-6400;41 -2
487;1436-6400;41 -1 41 -2
488;1436-6400;41 -2
489;1436-6400;41 -2
490;1436-6400;41 -1 41 -2
491;1436-6400;41 -1 41 -2
492;1436-6400;41 -2
493;1436-6400;14 -1 7 -1 14 -2
494;1436-6400;31 -1 48 -1 14 -1 31 -1 14 -2
495;1436-6400;41 -2
496;1436-6400;41 -1 41 -2
497;1436-6400;41 -2
498;1436-6400;48 -1 14 -2
499;1436-6400;14 -1 41 -1 41 -1 41 -2
500;1436-6400;14 -2
501;1436-6400;14 -1 41 -1 31 -1 14 -1 41 -2
502;1436-6400;41 -2
687;15247-6400;14 -2
688;15247-6400;41 -2
689;15247-6400;41 -2
690;15247-6400;41 -2
691;15247-6400;41 -1 41 -1 31 -1 31 -1 41 -1 31 -1 48 -1 49 -1 49 -1 49 -1 49 -1 48 -1 49 -1 14 -2
692;15247-6400;14 -1 41 -1 31 -1 14 -2
693;15247-6400;14 -1 49 -1 14 -1 14 -2
694;15247-6400;14 -1 14 -2
695;15247-6400;14 -1 7 -1 7 -2
696;15247-6400;14 -1 41 -1 41 -2
697;15247-6400;41 -2
698;15247-6400;43 -1 43 -1 44 -1 44 -2
699;15247-6400;44 -2
700;15247-6400;44 -2
701;15247-6400;44 -2
702;15247-6400;14 -1 31 -1 41 -1 41 -1 41 -2
703;15247-6400;41 -2
704;15247-6400;41 -2
705;15247-6400;41 -2
706;15247-6400;41 -2
707;15247-6400;41 -2
708;15247-6400;41 -2
709;15247-6400;41 -2
710;15247-6400;14 -2
711;15247-6400;48 -1 14 -2
712;15247-6400;14 -2
713;15247-6400;41 -2
714;15247-6400;43 -1 43 -1 44 -1 44 -2
715;15247-6400;44 -2
716;15247-6400;44 -1 44 -1 44 -1 44 -1 44 -2
717;15247-6400;44 -1 44 -1 44 -2
718;15247-6400;44 -2
719;15247-6400;44 -2
720;15247-6400;14 -1 43 -1 44 -2
721;15247-6400;44 -2
722;15247-6400;44 -1 44 -1 44 -1 44 -1 44 -1 44 -2
723;15247-6400;44 -2
724;15247-6400;44 -1 44 -1 44 -2
725;15247-6400;44 -2
726;15247-6400;44 -1 44 -1 44 -1 44 -1 44 -1 14 -1 14 -1 41 -2
727;15247-6400;41 -1 31 -1 31 -1 31 -1 41 -1 41 -1 41 -1 41 -2
728;15247-6400;31 -1 31 -2
729;15247-6400;41 -1 41 -2
730;15247-6400;14 -1 14 -1 31 -1 41 -2
731;15247-6400;14 -1 31 -1 30 -1 31 -1 30 -1 31 -1 30 -1 31 -1 30 -1 31 -1 30 -2
732;15247-6400;31 -1 30 -1 31 -1 14 -1 14 -1 14 -1 14 -1 41 -1 41 -2
733;15247-6400;41 -2
734;15247-6400;41 -2
735;15247-6400;41 -2
736;15247-6400;43 -1 44 -1 44 -1 44 -1 44 -1 14 -1 41 -2
737;15247-6400;41 -1 41 -2
738;15247-6400;31 -1 30 -1 31 -1 30 -1 31 -1 14 -1 41 -2
739;15247-6400;14 -1 31 -1 30 -2
740;15247-6400;30 -1 14 -1 41 -2
741;15247-6400;30 -2
